"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉장홍어","홋카이도","2018-03-16","3,478","불검출","불검출","적합"
"2","냉장명태","홋카이도","2018-03-16","1,456","불검출","불검출","적합"
"3","냉동새치(황새치,F,횟감)","태평양","2018-03-16","215","불검출","불검출","적합"
"4","냉장명태","홋카이도","2018-03-16","2,600","불검출","불검출","적합"
"5","냉장명태","홋카이도","2018-03-16","1,950","불검출","불검출","적합"
"6","냉장명태","홋카이도","2018-03-16","1,950","불검출","불검출","적합"
"7","냉장명태","홋카이도","2018-03-16","1,560","불검출","불검출","적합"
"8","냉장명태","홋카이도","2018-03-16","5,200","불검출","불검출","적합"
"9","냉장명태","홋카이도","2018-03-16","3,900","불검출","불검출","적합"
"10","활돔(참돔)","에히메현","2018-03-16","2,784","불검출","불검출","적합"
"11","활가리비","홋카이도","2018-03-16","6,989","불검출","불검출","적합"
"12","활가리비","홋카이도","2018-03-16","6,948","불검출","불검출","적합"
"13","냉장명태","홋카이도","2018-03-16","1,010","불검출","불검출","적합"
"14","활돔(참돔)","에히메현","2018-03-16","6,977","불검출","불검출","적합"
"15","냉장명태","홋카이도","2018-03-16","3,900","불검출","불검출","적합"
"16","냉장홍어","홋카이도","2018-03-16","717","불검출","불검출","적합"
"합계","","-","-","51,634","-","-","-"
