"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건29","-","-","85,219","-","-","-"
"1","구운김","사가현","2015-12-17","67","불검출","불검출","적합"
"2","활가리비","홋카이도","2015-12-17","7,000","불검출","불검출","적합"
"3","냉장병어","와카야마현","2015-12-17","150","불검출","불검출","적합"
"4","냉장돔 참돔(
)","후쿠오카현","2015-12-17","195","불검출","불검출","적합"
"5","활꼬막 새꼬막
(
)","후쿠오카현","2015-12-17","5,500","불검출","불검출","적합"
"6","활우렁쉥이","홋카이도","2015-12-17","8,588","불검출","불검출","적합"
"7","활우렁쉥이","홋카이도","2015-12-17","8,862","불검출","불검출","적합"
"8","활우렁쉥이","홋카이도","2015-12-17","9,235","불검출","불검출","적합"
"9","냉장갈치","오이타현","2015-12-17","1,240","불검출","불검출","적합"
"10","냉장갈치","야마구치현","2015-12-17","120","불검출","불검출","적합"
"11","활가리비","홋카이도","2015-12-17","5,643","불검출","불검출","적합"
"12","냉장홍어","홋카이도","2015-12-17","3,841","불검출","불검출","적합"
"13","활우렁쉥이","홋카이도","2015-12-17","8,710","불검출","불검출","적합"
"14","냉장갈치","와카야마현","2015-12-17","560","불검출","불검출","적합"
"15","냉장돔 황돔(
)","야마구치현","2015-12-17","355","불검출","불검출","적합"
