"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건41","-","-","157,741","-","-","-"
"1","마른고등어","나가사키현","2015-12-16","1,162","불검출","불검출","적합"
"2","활대합
(
북방대합
)","홋카이도","2015-12-16","1,257","불검출","불검출","적합"
"3","활가리비","홋카이도","2015-12-16","9,500","불검출","불검출","적합"
"4","활가리비","홋카이도","2015-12-16","7,000","불검출","불검출","적합"
"5","활대합 북방대합
(
)","홋카이도","2015-12-16","722","불검출","불검출","적합"
"6","활가리비","홋카이도","2015-12-16","7,000","불검출","불검출","적합"
"7","냉장대합
(
북방대합
)","홋카이도","2015-12-16","5","불검출","불검출","적합"
"8","냉장준치","야마구치현","2015-12-16","360","불검출","불검출","적합"
"9","냉장가오리","야마구치현","2015-12-16","80","불검출","불검출","적합"
"10","활우렁쉥이","홋카이도","2015-12-16","4,447","불검출","불검출","적합"
"11","활우렁쉥이","홋카이도","2015-12-16","4,480","불검출","불검출","적합"
"12","냉장명태","홋카이도","2015-12-16","9,000","불검출","불검출","적합"
"13","활우렁쉥이","홋카이도","2015-12-16","17,457","불검출","불검출","적합"
"14","활우렁쉥이","홋카이도","2015-12-16","9,911","불검출","불검출","적합"
"15","활우렁쉥이","홋카이도","2015-12-16","8,860","불검출","불검출","적합"
