"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건26","-","-","60,042","-","-","-"
"1","활가리비","홋카이도","2015-12-21","7,000","불검출","불검출","적합"
"2","활가리비","홋카이도","2015-12-21","6,566","불검출","불검출","적합"
"3","냉장명태","홋카이도","2015-12-21","105","불검출","불검출","적합"
"4","냉동새치
(
황새치 횟감
,F,
)","태평양","2015-12-21","2,200","불검출","불검출","적합"
"5","냉동새치
(
황새치 횟감
,F,
)","대서양","2015-12-21","488","불검출","불검출","적합"
"6","냉동새치
(
황새치 횟감
,F,
)","태평양","2015-12-21","382","불검출","불검출","적합"
"7","냉동다랑어
(
남방참다랑어
)","인도양","2015-12-21","8,625","불검출","불검출","적합"
"8","활꼬막 새꼬막
(
)","후쿠오카현","2015-12-21","5,500","불검출","불검출","적합"
"9","냉장갈치","야마구치현","2015-12-21","925","불검출","불검출","적합"
"10","활돔 강담돔
(
)","에히메현","2015-12-21","315","불검출","불검출","적합"
"11","활방어","에히메현","2015-12-21","1,095","불검출","불검출","적합"
"12","냉장명태","홋카이도","2015-12-21","4,010","불검출","불검출","적합"
"13","냉장홍어","홋카이도","2015-12-21","3,430","불검출","불검출","적합"
"14","냉장명태","홋카이도","2015-12-21","4,200","불검출","불검출","적합"
"15","냉장명태","홋카이도","2015-12-21","4,200","불검출","불검출","적합"
