"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건32","-","-","183,363","-","-","-"
"1","마른다랑어 가다(
랑어 훈제,
)","가고시마현","2015-12-18","5,000","불검출","불검출","적합"
"2","활방어","고치현","2015-12-18","18,020","불검출","불검출","적합"
"3","활가리비","홋카이도","2015-12-18","7,000","불검출","불검출","적합"
"4","냉동가리비 외투(
막)","홋카이도","2015-12-18","21,825","불검출","불검출","적합"
"5","냉장가오리","야마구치현","2015-12-18","90","불검출","불검출","적합"
"6","냉동홍어","홋카이도","2015-12-18","24,858","불검출","불검출","적합"
"7","냉장명태","홋카이도","2015-12-18","3,000","불검출","불검출","적합"
"8","활우렁쉥이","홋카이도","2015-12-18","8,610","불검출","불검출","적합"
"9","냉장돔 참돔(
)","야마구치현","2015-12-18","100","불검출","불검출","적합"
"10","냉장돔 황돔(
)","야마구치현","2015-12-18","371","불검출","불검출","적합"
"11","냉장명태","홋카이도","2015-12-18","4,200","불검출","불검출","적합"
"12","냉장명태","홋카이도","2015-12-18","4,200","불검출","불검출","적합"
"13","활가리비","홋카이도","2015-12-18","7,845","불검출","불검출","적합"
"14","활우렁쉥이","홋카이도","2015-12-18","7,440","불검출","불검출","적합"
"15","활가리비","홋카이도","2015-12-18","1,874","불검출","불검출","적합"
