"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건10","-","-","976,792","-","-","-"
"1","냉동상어 청상아리
(
)","대만","2015-08-28","24,481","불검출","불검출","적합"
"2","냉동가자미
(
까지가자미
)","","러시아 2015-08-28","15,780","불검출","불검출","적합"
"3","냉동기름치","오만","2015-08-28","23,100","불검출","불검출","적합"
"4","냉동명태","","러시아 2015-08-28","413,854","불검출","불검출","적합"
"5","냉동명태","","러시아 2015-08-28","430,000","불검출","불검출","적합"
"6","냉동대구","","러시아 2015-08-28","1,054","불검출","불검출","적합"
"7","냉동명태(F)","","러시아 2015-08-28","24,000","불검출","불검출","적합"
"8","냉동가자미
(
각시가자미
)","미국","2015-08-28","20,000","불검출","불검출","적합"
"9","냉동대구","","러시아 2015-08-28","14,943","불검출","불검출","적합"
"10","냉동명태","","러시아 2015-08-28","9,580","불검출","불검출","적합"
