"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건22","-","-","143,724","-","-","-"
"1","활가리비","홋카이도","2015-09-01","7,100","불검출","불검출","적합"
"2","활가리비","홋카이도","2015-09-01","7,100","불검출","불검출","적합"
"3","활가리비","홋카이도","2015-09-01","7,220","불검출","불검출","적합"
"4","냉동갈치","와카야마현","2015-09-01","1,530","불검출","불검출","적합"
"5","냉동돔 참돔
(
)","나가사키현","2015-09-01","48,900","불검출","불검출","적합"
"6","냉장갈치","오이타현","2015-09-01","4,695","불검출","불검출","적합"
"7","냉장돔 참돔
(
)","후쿠오카현","2015-09-01","305","불검출","불검출","적합"
"8","냉장돔 황돔
(
)","나가사키현","2015-09-01","48","불검출","불검출","적합"
"9","활가리비","홋카이도","2015-09-01","7,048","불검출","불검출","적합"
"10","냉장갈치","오이타현","2015-09-01","836","불검출","불검출","적합"
"11","냉장돔 참돔
(
)","야마구치현","2015-09-01","445","불검출","불검출","적합"
"12","냉장홍어","야마구치현","2015-09-01","270","불검출","불검출","적합"
"13","냉장명태","홋카이도","2015-09-01","5,760","불검출","불검출","적합"
"14","냉장홍어","홋카이도","2015-09-01","423","불검출","불검출","적합"
"15","냉장명태","홋카이도","2015-09-01","2,472","불검출","불검출","적합"
"16","활가리비","홋카이도","2015-09-01","14,292","불검출","불검출","적합"
