"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건13","-","-","1,499,573","-","-","-"
"1","냉동송어
(S,
포장횟감
)","칠레","2015-11-11","2,896","불검출","불검출","적합"
"2","냉동다랑어
(
눈다랑어 횟감
,F,
)","대만","2015-11-11","445","불검출","불검출","적합"
"3","냉동다랑어
(
눈다랑어목살횟감
,
,
)","대만","2015-11-11","990","불검출","불검출","적합"
"4","냉동가자미
(
각시가자미
)","러시아","2015-11-11","67,620","불검출","불검출","적합"
"5","냉동꽁치","대만","2015-11-11","184,819","불검출","불검출","적합"
"6","염장새우 젓새우
(
)","중국","2015-11-11","39,790","불검출","불검출","적합"
"7","냉동꽁치","대만","2015-11-11","290,011","불검출","불검출","적합"
"8","냉동꽁치","대만","2015-11-11","250,886","불검출","불검출","적합"
"9","냉동꽁치","대만","2015-11-11","290,430","불검출","불검출","적합"
"10","냉동꽁치","대만","2015-11-11","93,594","불검출","불검출","적합"
"11","냉동꽁치","대만","2015-11-11","233,092","불검출","불검출","적합"
"12","냉동명태(F)","러시아","2015-11-11","23,000","불검출","불검출","적합"
"13","냉동명태(F)","러시아","2015-11-11","22,000","불검출","불검출","적합"
