"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건13","-","-","1,776,116","-","-","-"
"1","냉동꽁치","대만","2015-11-13","184,745","불검출","불검출","적합"
"2","냉동꽁치","대만","2015-11-13","195,690","불검출","불검출","적합"
"3","냉동명태(F)","러시아","2015-11-13","24,000","불검출","불검출","적합"
"4","냉동꽁치","대만","2015-11-13","51,859","불검출","불검출","적합"
"5","냉동꽁치","대만","2015-11-13","78,390","불검출","불검출","적합"
"6","냉동꽁치","대만","2015-11-13","22,251","불검출","불검출","적합"
"7","냉동가자미
(
마소치가자미
)","미국","2015-11-13","4,900","불검출","불검출","적합"
"8","냉동꽁치","대만","2015-11-13","631,715","불검출","불검출","적합"
"9","냉동꽁치","대만","2015-11-13","299,392","불검출","불검출","적합"
"10","냉동가자미
(
각시가자미
)","러시아","2015-11-13","23,000","불검출","불검출","적합"
"11","냉동꽁치","대만","2015-11-13","118,073","불검출","불검출","적합"
"12","냉동꽁치","대만","2015-11-13","90,972","불검출","불검출","적합"
"13","냉동꽁치","대만","2015-11-13","51,129","불검출","불검출","적합"
