"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건25","-","-","109,152","-","-","-"
"1","활장어 먹장어
(
)","나가사키현","2015-11-12","2,548","불검출","불검출","적합"
"2","활돔 참돔(
)","나가사키현","2015-11-12","9,416","불검출","불검출","적합"
"3","활가리비","홋카이도","2015-11-12","7,002","불검출","불검출","적합"
"4","냉장홍어","홋카이도","2015-11-12","1,909","불검출","불검출","적합"
"5","활우렁쉥이","홋카이도","2015-11-12","8,959","불검출","불검출","적합"
"6","활우렁쉥이","홋카이도","2015-11-12","10,037","불검출","불검출","적합"
"7","냉장명태","홋카이도","2015-11-12","5,710","불검출","불검출","적합"
"8","냉장갈치","오이타현","2015-11-12","1,765","불검출","불검출","적합"
"9","냉장갈치","후쿠오카현","2015-11-12","380","불검출","불검출","적합"
"10","활우렁쉥이","홋카이도","2015-11-12","9,796","불검출","불검출","적합"
"11","냉장명태","홋카이도","2015-11-12","14,228","불검출","불검출","적합"
"12","냉장갈치","오이타현","2015-11-12","389","불검출","불검출","적합"
"13","냉장가오리","야마구치현","2015-11-12","140","불검출","불검출","적합"
"14","냉장홍어","야마구치현","2015-11-12","60","불검출","불검출","적합"
"15","냉장홍어","홋카이도","2015-11-12","3,109","불검출","불검출","적합"
