"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 147건","","","","788,038","","",""
"1","혼합제제","가나가와현","2018-10-23","45","불검출","불검출","적합"
"2","글리세린지방산에
스테르","미에현","2018-09-04","96","불검출","불검출","적합"
"3","카레(커리)","나가노현","2018-09-28","2,700","불검출","불검출","적합"
"4","기타 주류","후쿠오카현","2018-10-05","86","불검출","불검출","적합"
"5","청주","와카야마현","2018-10-05","173","불검출","불검출","적합"
"6","청주","후쿠오카현","2018-09-25","173","불검출","불검출","적합"
"7","청주","오카야마현","2018-10-02","86","불검출","불검출","적합"
"8","소주","가고시마현","2018-08-08","108","불검출","불검출","적합"
"9","청주","야마구치현","2018-09-27","86","불검출","불검출","적합"
"10","청주","야마구치현","2018-09-27","86","불검출","불검출","적합"
"11","청주","돗토리현","2018-10-02","86","불검출","불검출","적합"
"12","청주","돗토리현","2018-10-04","173","불검출","불검출","적합"
"13","소주","돗토리현","2018-09-05","54","불검출","불검출","적합"
