"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"44","유탕면","이바라키현","2018-09-28","299","불검출","불검출","적합"
"45","과자","니가타현","2018-09-28","336","불검출","불검출","적합"
"46","소스","에히메현","2018-09-25","1,080","불검출","불검출","적합"
"47","소스","에히메현","2018-07-23","72","불검출","불검출","적합"
"48","유탕면","이바라키현","2018-09-28","756","불검출","불검출","적합"
"49","초콜릿가공품","효고현","2018-08-22","4","불검출","불검출","적합"
"50","건어포","시즈오카현","2018-10-09","300","불검출","불검출","적합"
"51","건어포","시즈오카현","2018-10-03","660","불검출","불검출","적합"
"52","음료베이스","기후현","2018-09-19","50","불검출","불검출","적합"
"53","소스","히로시마현","2018-09-27","1,320","불검출","불검출","적합"
"54","청주","효고현","2018-10-15","9,600","불검출","불검출","적합"
"55","맥주","후쿠오카현","2018-10-01","415,157","불검출","불검출","적합"
"56","어묵","ETC","2018-10-01","2,800","불검출","불검출","적합"
"57","어묵","ETC","2018-06-28","2,688","불검출","불검출","적합"
"58","어묵","ETC","2018-10-01","3,542","불검출","불검출","적합"
"59","어묵","ETC","2018-10-01","3,500","불검출","불검출","적합"
"60","액상차","미에현","2018-06-17","4,200","불검출","불검출","적합"
"61","기타
수산물가공
품","아이치현","2018-10-16","12,500","불검출","불검출","적합"
"62","소스","아이치현","2018-09-20","91","불검출","불검출","적합"
"63","향신료조제품","시즈오카현","2018-06-11","69","불검출","불검출","적합"
"64","원액두유","후쿠오카현","2018-10-18","289","불검출","불검출","적합"
"65","소스","히로시마현","2018-10-12","2,886","불검출","불검출","적합"
"66","소스","아오모리현","2018-10-16","2,160","불검출","불검출","적합"
"67","과·채음료","후쿠오카현","2018-08-05","450","불검출","불검출","적합"
"68","과자","도쿠시마현","2018-09-08","2,100","불검출","불검출","적합"
"69","소스","지바현","2018-09-28","850","불검출","불검출","적합"
"70","양조간장","지바현","2018-09-18","1,879","불검출","불검출","적합"
"71","청주","효고현","2018-10-04","2,160","불검출","불검출","적합"
"72","청주","교토부","2018-10-06","14,688","불검출","불검출","적합"
"73","청주","효고현","2018-09-21","216","불검출","불검출","적합"
"74","어묵","ETC","2018-10-01","6,042","불검출","불검출","적합"
"75","어묵","ETC","2018-10-01","776","불검출","불검출","적합"
"76","어묵","ETC","2018-09-16","1,600","불검출","불검출","적합"
