"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"14","볶은커피","효고현","2016-01-21","13.62","불검출","불검출","적합"
"15","볶은커피","효고현","2016-01-21","13.62","불검출","불검출","적합"
"16","과자(스낵과자)","아이치현","2016-02-23","176.4","불검출","불검출","적합"
"17","캔디류(사탕)","아이치현","2016-02-22","168","불검출","불검출","적합"
"18","과자(스낵과자)","니가타현","2016-02-29","151.2","불검출","불검출","적합"
"19","과자(스낵과자)","니가타현","2016-02-22","168","불검출","불검출","적합"
"20","빵류(케이크)","훗카이도","2016-03-10","604.8","불검출","불검출","적합"
"21","즉석섭취식품","훗카이도","2016-03-11","8.4","불검출","불검출","적합"
"22","과자(쿠키)","아이치현","2016-03-09","72","불검출","불검출","적합"
"23","과자(쿠키)","아이치현","2016-03-09","144","불검출","불검출","적합"
"24","과자(스낵과자)","아이치현","2016-03-11","529","불검출","불검출","적합"
"25","빵류(그외 빵류)","사가현","2016-03-08","4,068.23","불검출","불검출","적합"
"26","과자(스낵과자)","나가노현","2016-02-26","345.6","불검출","불검출","적합"
"27","당류가공품","교토부","2015-12-31","56.16","불검출","불검출","적합"
"28","혼합제제","이바라키현","2016-03-10","100","불검출","불검출","적합"
"29","혼합제제","이바라키현","2016-03-09","15","불검출","불검출","적합"
"30","혼합제제","이바라키현","2016-03-08","60","불검출","불검출","적합"
"31","기타가공품","훗카이도","2016-03-03","3,008","불검출","불검출","적합"
"32","기타가공품","도쿄도","2016-02-02","7.15","불검출","불검출","적합"
"33","소스류","아오모리현","2015-11-20","96","불검출","불검출","적합"
"34","복합조미식품","미에현","2016-02-12","106.08","불검출","불검출","적합"
"35","청주","아오모리현","2016-03-01","2,160","불검출","불검출","적합"
"36","향신료조제품(고추
냉이가공품)","나가노현","2016-02-06","670.8","불검출","불검출","적합"
"37","과자(스낵과자)","나가노현","2016-03-16","2,352","불검출","불검출","적합"
"38","과자(스낵과자)","고치현","2016-01-26","12.6","불검출","불검출","적합"
"39","청주","효고현","2016-03-08","8,400","불검출","불검출","적합"
"40","과자(스낵과자)","고치현","2016-02-01","54.9","불검출","불검출","적합"
"41","과자(스낵과자)","고치현","2016-01-27","20.3","불검출","불검출","적합"
"42","과자(스낵과자)","고치현","2016-02-10","52.1","불검출","불검출","적합"
"43","과자(크래커)","아이치현","2016-02-08","17.4","불검출","불검출","적합"
"44","추잉껌","오사카부","2016-02-05","32.5","불검출","불검출","적합"
"45","과자(스낵과자)","고치현","2016-02-10","24.4","불검출","불검출","적합"
"46","혼합제제","효고현","2016-03-10","51","불검출","불검출","적합"
"47","카레","도치기현","2015-08-31","6,348","불검출","불검출","적합"
