"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","","-","-","56,863","-","-","-"
"1","활장어 먹장어
(
)","나가사키현","2016-03-31","522","불검출","불검출","적합"
"2","냉장홍어","홋카이도","2016-03-31","2,205","불검출","불검출","적합"
"3","냉장홍어","홋카이도","2016-03-31","3,612","불검출","불검출","적합"
"4","냉장명태","홋카이도","2016-03-31","9,100","불검출","불검출","적합"
"5","냉장홍어","홋카이도","2016-03-31","952","불검출","불검출","적합"
"6","냉장갈치","후쿠오카현","2016-03-31","824","불검출","불검출","적합"
"7","냉장병어","야마구치현","2016-03-31","380","불검출","불검출","적합"
"8","냉장돔 황돔(
)","야마구치현","2016-03-31","260","불검출","불검출","적합"
"9","냉장명태","홋카이도","2016-03-31","3,070","불검출","불검출","적합"
"10","냉장명태","홋카이도","2016-03-31","4,000","불검출","불검출","적합"
"11","냉장가오리","에히메현","2016-03-31","410","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-03-31","91","불검출","불검출","적합"
"13","냉장대구","홋카이도","2016-03-31","720","불검출","불검출","적합"
"14","냉장명태","홋카이도","2016-03-31","91","불검출","불검출","적합"
"15","냉장홍어","홋카이도","2016-03-31","260","불검출","불검출","적합"
"16","냉장홍어","홋카이도","2016-03-31","1,877","불검출","불검출","적합"
