"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","","-","-","14,126","-","-","-"
"1","냉장명태","홋카이도","2016-04-04","2,160","불검출","불검출","적합"
"2","냉장대구","홋카이도","2016-04-04","288","불검출","불검출","적합"
"3","냉장갈치","에히메현","2016-04-04","336","불검출","불검출","적합"
"4","냉장돔 황돔(
)","야마구치현","2016-04-04","100","불검출","불검출","적합"
"5","냉장홍어","야마구치현","2016-04-04","390","불검출","불검출","적합"
"6","냉장홍어","홋카이도","2016-04-04","4,996","불검출","불검출","적합"
"7","냉장갈치","야마구치현","2016-04-04","864","불검출","불검출","적합"
"8","냉장갈치","후쿠오카현","2016-04-04","936","불검출","불검출","적합"
"9","냉장준치","구마모토현","2016-04-04","945","불검출","불검출","적합"
"10","냉장갈치","에히메현","2016-04-04","680","불검출","불검출","적합"
"11","냉장갈치","효고현","2016-04-04","40","불검출","불검출","적합"
"12","냉장준치","효고현","2016-04-04","1,380","불검출","불검출","적합"
"13","냉장갈치","에히메현","2016-04-04","121","불검출","불검출","적합"
"14","냉장갈치","효고현","2016-04-04","350","불검출","불검출","적합"
"15","냉장갈치","히로시마현","2016-04-04","540","불검출","불검출","적합"
