"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","","-","-","45,406","-","-","-"
"1","활돔 참돔(
)","에히메현","2016-04-01","10,135","불검출","불검출","적합"
"2","활돔 참돔(
)","에히메현","2016-04-01","4,979","불검출","불검출","적합"
"3","활돔 참돔(
)","에히메현","2016-04-01","5,017","불검출","불검출","적합"
"4","냉동상어
(
청상아리
,F)","대서양","2016-04-01","451","불검출","불검출","적합"
"5","냉장돔 참돔(
)","야마구치현","2016-04-01","295","불검출","불검출","적합"
"6","냉장준치","구마모토현","2016-04-01","690","불검출","불검출","적합"
"7","냉장돔 황돔(
)","야마구치현","2016-04-01","133","불검출","불검출","적합"
"8","냉장가오리","야마구치현","2016-04-01","140","불검출","불검출","적합"
"9","냉장갈치","히로시마현","2016-04-01","345","불검출","불검출","적합"
"10","활가리비","홋카이도","2016-04-01","6,980","불검출","불검출","적합"
"11","활돔 돌돔(
)","미에현","2016-04-01","769","불검출","불검출","적합"
"12","활돔 돌돔(
)","나가사키현","2016-04-01","825","불검출","불검출","적합"
"13","냉장갈치","오이타현","2016-04-01","360","불검출","불검출","적합"
"14","냉장갈치","히로시마현","2016-04-01","1,620","불검출","불검출","적합"
"15","냉장홍어","홋카이도","2016-04-01","2,537","불검출","불검출","적합"
"16","냉장명태","홋카이도","2016-04-01","7,000","불검출","불검출","적합"
