"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","67건","","1,104,110","","",""
"1","소스류","히로시마현","2014-07-04","2,446.8","불검출","불검출","적합"
"2","소스류","히로시마현","2014-07-16","1,221.6","불검출","불검출","적합"
"3","소스류","히로시마현","2014-07-24","1,290","불검출","불검출","적합"
"4","소스류","히로시마현","2014-07-03","4,410","불검출","불검출","적합"
"5","소스류","히로시마현","2014-07-07","655.5","불검출","불검출","적합"
"6","소스류","히로시마현","2014-07-28","396","불검출","불검출","적합"
"7","소스류","히로시마현","2014-07-29","97.2","불검출","불검출","적합"
"8","소스류","히로시마현","2014-07-15","103.5","불검출","불검출","적합"
"9","곡류가공품","시즈오카현","2014-06-06","1,200","불검출","불검출","적합"
"10","곡류가공품","지바현","2014-06-17","90","불검출","불검출","적합"
"11","소스류","군마현","2014-07-03","1,350","불검출","불검출","적합"
"12","소스류","군마현","2014-07-08","625","불검출","불검출","적합"
"13","기타식초","도치기현","2014-06-24","345","불검출","불검출","적합"
"14","떡류","군마현","2014-07-17","273","불검출","불검출","적합"
"15","떡류","군마현","2014-07-08","1,092","불검출","불검출","적합"
"16","떡류","군마현","2014-07-11","163.8","불검출","불검출","적합"
"17","과자(스낵과자)","아이치현","2014-06-25","43.68","불검출","불검출","적합"
"18","떡류","군마현","2014-07-02","163.8","불검출","불검출","적합"
"19","떡류","군마현","2014-07-08","218.4","불검출","불검출","적합"
