"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","활가리비","홋카이도","2019-03-12","7,000","불검출","불검출","적합"
"2","냉장가오리","야마구치현","2019-03-12","360","불검출","불검출","적합"
"3","냉장명태","홋카이도","2019-03-12","2,600","불검출","불검출","적합"
"4","냉장갈치","후쿠오카현","2019-03-12","320","불검출","불검출","적합"
"5","활돔(돌돔)","가나가와현","2019-03-12","398","불검출","불검출","적합"
"6","활장어(먹장어)","야마구치현","2019-03-12","1,340","불검출","불검출","적합"
"7","활돔(벵에돔)","오이타현","2019-03-12","1,000","불검출","불검출","적합"
"8","냉장갈치","후쿠오카현","2019-03-12","200","불검출","불검출","적합"
"9","냉장돔(황돔)","후쿠오카현","2019-03-12","236","불검출","불검출","적합"
"10","냉장명태","홋카이도","2019-03-12","1,300","불검출","불검출","적합"
"11","냉장명태","홋카이도","2019-03-12","1,160","불검출","불검출","적합"
"12","활돔(참돔)","에히메현","2019-03-12","3,846","불검출","불검출","적합"
"13","활가리비","홋카이도","2019-03-12","7,500","불검출","불검출","적합"
"14","냉장명태","홋카이도","2019-03-12","1,300","불검출","불검출","적합"
"15","냉장명태","홋카이도","2019-03-12","2,600","불검출","불검출","적합"
"16","활가리비","홋카이도","2019-03-12","6,982","불검출","불검출","적합"
"17","냉장돔(황돔)","나가사키현","2019-03-12","424","불검출","불검출","적합"
"18","냉장가오리","후쿠오카현","2019-03-12","1,080","불검출","불검출","적합"
"19","활돔(돌돔)","미에현","2019-03-12","956","불검출","불검출","적합"
"20","냉장명태","홋카이도","2019-03-12","2,600","불검출","불검출","적합"
