"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 170건","","","","1,462,540","","",""
"1","캔디류","나라현","2019-02-19","2,072","불검출","불검출","적합"
"2","음료베이스","시가현","2019-01-22","278","불검출","불검출","적합"
"3","소스","오카야마현","2019-01-21","131","불검출","불검출","적합"
"4","혼합제제","효고현","2019-02-26","30","불검출","불검출","적합"
"5","혼합제제","효고현","2019-02-26","15","불검출","불검출","적합"
"6","혼합제제","효고현","2019-02-21","15","불검출","불검출","적합"
"7","금박","이시카와현","2019-02-14","1","불검출","불검출","적합"
"8","음료베이스","교토부","2019-02-07","864","불검출","불검출","적합"
"9","청주","사가현","2019-02-12","43","불검출","불검출","적합"
"10","청주","사가현","2019-02-04","259","불검출","불검출","적합"
"11","청주","니가타현","2019-02-04","594","불검출","불검출","적합"
"12","청주","니가타현","2019-01-05","43","불검출","불검출","적합"
"13","청주","도치기현","2018-04-16","86","불검출","불검출","적합"
"14","청주","도치기현","2019-02-01","130","불검출","불검출","적합"
