"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 96건","","","","254,113","","",""
"1","혼합제제","사이타마현","2018-02-06","40","불검출","불검출","적합"
"2","청주","교토부","2017-12-20","3,240","불검출","불검출","적합"
"3","기타수산물가공품","후쿠시마현","2017-09-11","120","불검출","불검출","적합"
"4","소스","히로시마현","2018-02-06","360","불검출","불검출","적합"
"5","유탕면","도치기현","2018-02-09","144","불검출","불검출","적합"
"6","유탕면","도치기현","2018-02-07","144","불검출","불검출","적합"
"7","유탕면","도치기현","2018-02-01","144","불검출","불검출","적합"
"8","유탕면","도치기현","2018-02-02","144","불검출","불검출","적합"
"9","과자","이바라키현","2018-02-06","194","불검출","불검출","적합"
"10","소스","군마현","2018-01-31","360","불검출","불검출","적합"
"11","혼합제제","도쿄도","2018-03-13","200","불검출","불검출","적합"
"12","과실주","야마나시현","2017-05-09","54","불검출","불검출","적합"
"13","맥주","오이타현","2018-02-01","44,600","불검출","불검출","적합"
