"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동다랑어(날개다랑어)","대만","2018-04-03","24,576","불검출","불검출","적합"
"2","냉동새치(황새치)","파나마","2018-04-03","21,862","불검출","불검출","적합"
"3","냉동고등어","중국","2018-04-03","96,000","불검출","불검출","적합"
"4","냉동볼락(장문볼락)","아이슬란드","2018-04-03","20,727","불검출","불검출","적합"
"5","냉동명태(F)","러시아","2018-04-03","20,166","불검출","불검출","적합"
"6","냉동명태(F)","러시아","2018-04-03","21,900","불검출","불검출","적합"
"7","냉동명태(F)","러시아","2018-04-03","23,000","불검출","불검출","적합"
"8","냉동가자미(각시가자미)","미국","2018-04-03","18,000","불검출","불검출","적합"
"9","냉동어란(명란)","러시아","2018-04-03","7,090","불검출","불검출","적합"
"10","냉동가자미(각시가자미)","러시아","2018-04-03","22,050","불검출","불검출","적합"
"11","냉동대구(은대구)","러시아","2018-04-03","1,751","불검출","불검출","적합"
"합계","","-","-","277,122","-","-","-"
