"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"15","냉장갈치","오이타현","2016-06-23","280","불검출","불검출","적합"
"16","냉장명태","홋카이도","2016-06-23","1,992","불검출","불검출","적합"
"17","냉장갈치","오이타현","2016-06-23","555","불검출","불검출","적합"
"18","냉장민어(수조기)","가가와현","2016-06-23","50","불검출","불검출","적합"
"19","냉장갈치","와카야마현","2016-06-23","1,296","불검출","불검출","적합"
"20","냉장명태","홋카이도","2016-06-23","4,098","불검출","불검출","적합"
"21","냉장홍어","홋카이도","2016-06-23","4,325","불검출","불검출","적합"
"22","냉장갈치","히로시마현","2016-06-23","250","불검출","불검출","적합"
"23","냉장명태","홋카이도","2016-06-23","1,528","불검출","불검출","적합"
"24","냉장갈치","와카야마현","2016-06-23","1,456","불검출","불검출","적합"
"25","냉동기름치","대서양","2016-06-23","11,379","불검출","불검출","적합"
"26","활장어(먹장어)","야마구치현","2016-06-23","2,490","불검출","불검출","적합"
"27","활가리비","홋카이도","2016-06-23","7,894","불검출","불검출","적합"
"28","활가리비","홋카이도","2016-06-23","6,999","불검출","불검출","적합"
"29","활가리비","홋카이도","2016-06-23","7,031","불검출","불검출","적합"
"30","활가리비","홋카이도","2016-06-23","7,025","불검출","불검출","적합"
"31","활가리비","홋카이도","2016-06-23","6,987","불검출","불검출","적합"
