"순 번","품목명","제조·생산지","유통기한
(포장일자)","중량(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","","","13,344","","",""
"1","건조능이버섯","중국","-
(2016년)","195","5","불검출","적합"
"2","냉동송이버섯","중국","-
(2016년)","5,165","1","불검출","적합"
"3","냉동능이버섯","중국","-
(2016년)","7,984","1","불검출","적합"
