"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"34","냉장명태","홋카이도","2017-01-10","4,250","불검출","불검출","적합"
"35","냉장갈치","후쿠오카현","2017-01-10","400","불검출","불검출","적합"
"36","냉장가오리","야마구치현","2017-01-10","80","불검출","불검출","적합"
"37","냉장홍어","홋카이도","2017-01-10","9,141","불검출","불검출","적합"
"38","냉장명태","홋카이도","2017-01-10","5,270","불검출","불검출","적합"
"39","냉장명태","홋카이도","2017-01-10","3,300","불검출","불검출","적합"
"40","냉장명태","홋카이도","2017-01-10","4,250","불검출","불검출","적합"
"41","냉장갈치","오이타현","2017-01-10","340","불검출","불검출","적합"
"42","냉장갈치","후쿠오카현","2017-01-10","509","불검출","불검출","적합"
"43","냉장갈치","에히메현","2017-01-10","1,864","불검출","불검출","적합"
"44","냉장가오리","야마구치현","2017-01-10","730","불검출","불검출","적합"
"45","냉장가오리","에히메현","2017-01-10","530","불검출","불검출","적합"
"46","냉장가오리","야마구치현","2017-01-10","564","불검출","불검출","적합"
"47","냉장갈치","야마구치현","2017-01-10","215","불검출","불검출","적합"
"48","활우렁쉥이","홋카이도","2017-01-10","8,473","불검출","불검출","적합"
"49","냉장명태","홋카이도","2017-01-10","3,600","불검출","불검출","적합"
"50","냉장홍어","홋카이도","2017-01-10","1,806","불검출","불검출","적합"
