"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","96,436","-","-","-"
"1","냉동갈치","가나가와현","2017-01-11","4,800","불검출","불검출","적합"
"2","냉동돔(황돔)","야마구치현","2017-01-11","1,895","불검출","불검출","적합"
"3","냉동가오리","야마구치현","2017-01-11","200","불검출","불검출","적합"
"4","활우렁쉥이","홋카이도","2017-01-11","4,882","불검출","불검출","적합"
"5","활우렁쉥이","홋카이도","2017-01-11","3,990","불검출","불검출","적합"
"6","활우렁쉥이","홋카이도","2017-01-11","6,320","불검출","불검출","적합"
"7","냉장명태","홋카이도","2017-01-11","2,000","불검출","불검출","적합"
"8","냉장명태","홋카이도","2017-01-11","3,000","불검출","불검출","적합"
"9","냉장명태","홋카이도","2017-01-11","3,000","불검출","불검출","적합"
"10","냉장명태","홋카이도","2017-01-11","10,750","불검출","불검출","적합"
"11","냉장명태","홋카이도","2017-01-11","7,000","불검출","불검출","적합"
"12","활방어","에히메현","2017-01-11","800","불검출","불검출","적합"
"13","활우렁쉥이","홋카이도","2017-01-11","2,685","불검출","불검출","적합"
"14","활우렁쉥이","홋카이도","2017-01-11","7,057","불검출","불검출","적합"
"15","활우렁쉥이","홋카이도","2017-01-11","9,427","불검출","불검출","적합"
"16","활우렁쉥이","홋카이도","2017-01-11","9,437","불검출","불검출","적합"
