"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건31","-","-","95,538","-","-","-"
"1","활방어","오이타현","2016-02-24","2,993","불검출","불검출","적합"
"2","활돔 참돔(
)","나가사키현","2016-02-24","5,932","불검출","불검출","적합"
"3","활돔 참돔(
)","나가사키현","2016-02-24","9,389","불검출","불검출","적합"
"4","활가리비","홋카이도","2016-02-24","14,000","불검출","불검출","적합"
"5","활문어","홋카이도","2016-02-24","2,800","불검출","불검출","적합"
"6","활가리비","홋카이도","2016-02-24","6,790","불검출","불검출","적합"
"7","활가리비","홋카이도","2016-02-24","1,930","불검출","불검출","적합"
"8","냉장홍어","야마구치현","2016-02-24","590","불검출","불검출","적합"
"9","냉장홍어","홋카이도","2016-02-24","2,412","불검출","불검출","적합"
"10","냉장갈치","야마구치현","2016-02-24","5,904","불검출","불검출","적합"
"11","냉동새치 황새치
(
,
F,
횟감
)","태평양","2016-02-24","809","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-02-24","4,121","불검출","불검출","적합"
"13","냉장갈치","오이타현","2016-02-24","150","불검출","불검출","적합"
"14","활꼬막","후쿠오카현","2016-02-24","3,500","불검출","불검출","적합"
"15","냉장명태","홋카이도","2016-02-24","4,108","불검출","불검출","적합"
