"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건46","-","-","155,872","-","-","-"
"1","마른다랑어
(
가다랑어 훈제
,
)","가고시마현","2016-02-23","5,000","불검출","불검출","적합"
"2","활방어","에히메현","2016-02-23","4,590","불검출","불검출","적합"
"3","활돔 참돔(
)","에히메현","2016-02-23","5,629","불검출","불검출","적합"
"4","활돔 참돔(
)","구마모토현","2016-02-23","20,179","불검출","불검출","적합"
"5","활돔 참돔(
)","에히메현","2016-02-23","6,471","불검출","불검출","적합"
"6","활방어","에히메현","2016-02-23","1,650","불검출","불검출","적합"
"7","활돔 돌돔(
)","미에현","2016-02-23","324","불검출","불검출","적합"
"8","냉동다랑어
(
남방참다랑어 횟감
,F,
)","인도양","2016-02-23","1,528","불검출","불검출","적합"
"9","냉장갈치","오이타현","2016-02-23","390","불검출","불검출","적합"
"10","냉장갈치","야마구치현","2016-02-23","7,200","불검출","불검출","적합"
"11","냉장갈치","후쿠오카현","2016-02-23","1,184","불검출","불검출","적합"
"12","냉장가오리","야마구치현","2016-02-23","340","불검출","불검출","적합"
"13","냉장가오리","야마구치현","2016-02-23","330","불검출","불검출","적합"
"14","냉장홍어","야마구치현","2016-02-23","190","불검출","불검출","적합"
"15","활가리비","홋카이도","2016-02-23","7,373","불검출","불검출","적합"
