"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","73,943","-","-","-"
"1","활돔(참돔)","에히메현","2016-10-13","4,901","불검출","불검출","적합"
"2","활돔(참돔)","에히메현","2016-10-13","14,408","불검출","불검출","적합"
"3","활우렁쉥이","홋카이도","2016-10-13","7,000","불검출","불검출","적합"
"4","냉장명태","홋카이도","2016-10-13","3,360","불검출","불검출","적합"
"5","활꼬막(새꼬막)","사가현","2016-10-13","1,600","불검출","불검출","적합"
"6","냉장명태","홋카이도","2016-10-13","2,000","불검출","불검출","적합"
"7","냉장명태","홋카이도","2016-10-13","1,500","불검출","불검출","적합"
"8","냉장돔(황돔)","야마구치현","2016-10-13","75","불검출","불검출","적합"
"9","냉장명태","홋카이도","2016-10-13","1,032","불검출","불검출","적합"
"10","냉장명태","홋카이도","2016-10-13","3,000","불검출","불검출","적합"
"11","냉장명태","홋카이도","2016-10-13","1,034","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-10-13","3,000","불검출","불검출","적합"
"13","냉장명태","홋카이도","2016-10-13","2,010","불검출","불검출","적합"
"14","냉장명태","홋카이도","2016-10-13","1,080","불검출","불검출","적합"
"15","냉장갈치","후쿠오카현","2016-10-13","365","불검출","불검출","적합"
