"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"15","냉장돔 참돔(
)","야마구치현","2016-01-12","400","불검출","불검출","적합"
"16","냉장명태","홋카이도","2016-01-12","4,118","불검출","불검출","적합"
"17","냉장명태","홋카이도","2016-01-12","4,118","불검출","불검출","적합"
"18","냉장갈치","에히메현","2016-01-12","1,070","불검출","불검출","적합"
"19","냉장갈치","효고현","2016-01-12","440","불검출","불검출","적합"
"20","냉장병어","효고현","2016-01-12","210","불검출","불검출","적합"
"21","활우렁쉥이","홋카이도","2016-01-12","8,710","불검출","불검출","적합"
"22","냉장명태","홋카이도","2016-01-12","4,000","불검출","불검출","적합"
"23","활우렁쉥이","홋카이도","2016-01-12","7,695","불검출","불검출","적합"
"24","냉장명태","홋카이도","2016-01-12","7,580","불검출","불검출","적합"
"25","활돔 참돔(
)","와카야마현","2016-01-12","970","불검출","불검출","적합"
"26","냉장갈치","후쿠오카현","2016-01-12","592","불검출","불검출","적합"
"27","활해삼","효고현","2016-01-12","576","불검출","불검출","적합"
"28","활방어","고치현","2016-01-12","1,500","불검출","불검출","적합"
"29","냉장갈치","오이타현","2016-01-12","815","불검출","불검출","적합"
"30","냉장갈치","야마구치현","2016-01-12","720","불검출","불검출","적합"
"31","활가리비","홋카이도","2016-01-12","7,160","불검출","불검출","적합"
"32","냉장갈치","오이타현","2016-01-12","1,575","불검출","불검출","적합"
"33","냉장돔 황돔(
)","후쿠오카현","2016-01-12","90","불검출","불검출","적합"
