"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"14","청주","후쿠오카현","2015-10-27","43.2","불검출","불검출","적합"
"15","청주","효고현","2015-12-03","960","불검출","불검출","적합"
"16","소스류","가나가와현","2015-12-11","283.2","불검출","불검출","적합"
"17","소스류","가나가와현","2015-12-14","481.5","불검출","불검출","적합"
"18","소스류","가나가와현","2015-12-14","456.75","불검출","불검출","적합"
"19","소스류","가나가와현","2015-12-14","822","불검출","불검출","적합"
"20","소스류","가나가와현","2015-12-14","394","불검출","불검출","적합"
"21","소스류","가나가와현","2015-12-14","82.8","불검출","불검출","적합"
"22","소스류","가나가와현","2015-12-11","230.4","불검출","불검출","적합"
"23","소스류","가나가와현","2015-12-11","281.65","불검출","불검출","적합"
"24","소스류","군마현","2015-11-14","375","불검출","불검출","적합"
"25","즉석조리식품","가나가와현","2015-12-13","10,140.45","불검출","불검출","적합"
"26","기타식초","도치기현","2015-10-07","230","불검출","불검출","적합"
"27","캔디류(사탕)","아이치현","2015-12-15","450","불검출","불검출","적합"
"28","맥주","오이타현","2015-12-01","29,040","불검출","불검출","적합"
"29","맥주","오이타현","2015-11-21","82,800","불검출","불검출","적합"
"30","향신료조제품(고추
냉이가공품)","나가노현","2015-11-05","335.4","불검출","불검출","적합"
"31","청주","효고현","2015-12-21","4,665.6","불검출","불검출","적합"
"32","청주","효고현","2015-12-21","2,332.8","불검출","불검출","적합"
"33","청주","효고현","2015-12-17","518.4","불검출","불검출","적합"
"34","청주","도치기현","2015-12-01","1,036.8","불검출","불검출","적합"
"35","청주","도치기현","2015-11-19","777.6","불검출","불검출","적합"
"36","향신료조제품(고추
냉이가공품)","사이타마현","2015-12-03","150","불검출","불검출","적합"
"37","일반증류주","시즈오카현","2015-11-06","8,800","불검출","불검출","적합"
"38","과자(스낵과자)","사이타마현","2015-06-21","1,256","불검출","불검출","적합"
"39","과자(스낵과자)","사이타마현","2015-06-28","1,256","불검출","불검출","적합"
"40","과자(스낵과자)","사이타마현","2015-06-29","1,256","불검출","불검출","적합"
"41","초콜릿가공품","아이치현","2015-12-03","112.32","불검출","불검출","적합"
"42","초콜릿가공품","후쿠오카현","2015-12-03","77.69","불검출","불검출","적합"
"43","캔디류(사탕)","아이치현","2015-12-09","94.32","불검출","불검출","적합"
"44","청주","아이치현","2015-12-01","86.4","불검출","불검출","적합"
"45","청주","아이치현","2015-12-01","324","불검출","불검출","적합"
"46","청주","아이치현","2015-12-01","660.96","불검출","불검출","적합"
"47","청주","아이치현","2015-11-01","826.2","불검출","불검출","적합"
