"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","26건","","","47,741","-","-","-"
"1","활돔(참돔)","에히메현","2014-08-25","6,960","불검출","불검출","적합"
"2","활돔(참돔)","에히메현","2014-08-25","8,020","불검출","불검출","적합"
"3","활가리비","홋카이도","2014-08-25","7,000","불검출","불검출","적합"
"4","냉장돔(황돔)","야마구치현","2014-08-25","170","불검출","불검출","적합"
"5","냉장돔(황돔)","나가사키현","2014-08-25","528","불검출","불검출","적합"
"6","냉장돔(황돔)","야마구치현","2014-08-25","1,840","불검출","불검출","적합"
"7","냉동눈다랑어(F,횟감)","태평양","2014-08-25","1,000","불검출","불검출","적합"
"8","냉장명태","홋카이도","2014-08-25","2,400","불검출","불검출","적합"
"9","냉장갈치","와카야마현","2014-08-25","1,368","불검출","불검출","적합"
"10","냉장갈치","오이타현","2014-08-25","580","불검출","불검출","적합"
"11","냉장갈치","와카야마현","2014-08-25","912","불검출","불검출","적합"
"12","냉장준치","야마구치현","2014-08-25","1,600","불검출","불검출","적합"
"13","냉장돔(참돔)","야마구치현","2014-08-25","45","불검출","불검출","적합"
"14","냉동눈다랑어(목살)","태평양","2014-08-25","1,060","불검출","불검출","적합"
"15","냉장명태","홋카이도","2014-08-25","1,572","불검출","불검출","적합"
"16","냉장명태","홋카이도","2014-08-25","1,512","불검출","불검출","적합"
"17","냉장명태","홋카이도","2014-08-25","768","불검출","불검출","적합"
"18","냉장명태","홋카이도","2014-08-25","2,280","불검출","불검출","적합"
"19","냉장갈치","와카야마현","2014-08-25","2,528","불검출","불검출","적합"
"20","냉장돔(참돔)","야마구치현","2014-08-25","996","불검출","불검출","적합"
"21","냉장갈치","오이타현","2014-08-25","565","불검출","불검출","적합"
"22","냉장갈치","와카야마현","2014-08-25","320","불검출","불검출","적합"
"23","냉장홍어","야마구치현","2014-08-25","190","불검출","불검출","적합"
"24","냉장준치","구마모토현","2014-08-25","2,264","불검출","불검출","적합"
"25","냉장갈치","와카야마현","2014-08-25","696","불검출","불검출","적합"
"26","냉장준치","구마모토현","2014-08-25","567","불검출","불검출","적합"
