"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","40건","","","106,153","-","-","-"
"1","냉동방어(F,포장횟감)","나가사키현","2014-08-26","9,997","불검출","불검출","적합"
"2","활돔(참돔)","구마모토현","2014-08-26","6,194","불검출","불검출","적합"
"3","활돔(참돔)","구마모토현","2014-08-26","13,234","불검출","불검출","적합"
"4","활가리비","홋카이도","2014-08-26","7,000","불검출","불검출","적합"
"5","활가리비","홋카이도","2014-08-26","6,550","불검출","불검출","적합"
"6","활게(왕게)","홋카이도","2014-08-26","4,000","불검출","불검출","적합"
"7","냉장돔(황돔)","야마구치현","2014-08-26","175","불검출","불검출","적합"
"8","냉장돔(황돔)","야마구치현","2014-08-26","376","불검출","불검출","적합"
"9","냉장돔(황돔)","후쿠오카현","2014-08-26","10","불검출","불검출","적합"
"10","냉장돔(황돔)","나가사키현","2014-08-26","120","불검출","불검출","적합"
"11","냉장돔(황돔)","야마구치현","2014-08-26","60","불검출","불검출","적합"
"12","냉장명태","홋카이도","2014-08-26","1,260","불검출","불검출","적합"
"13","냉장홍어","홋카이도","2014-08-26","6,244","불검출","불검출","적합"
"14","냉동갈치","와카야마현","2014-08-26","620","불검출","불검출","적합"
"15","냉장갈치","오이타현","2014-08-26","485","불검출","불검출","적합"
"16","냉장돔(참돔)","후쿠오카현","2014-08-26","670","불검출","불검출","적합"
"17","냉장돔(참돔)","야마구치현","2014-08-26","250","불검출","불검출","적합"
"18","냉장돔(참돔)","나가사키현","2014-08-26","1,176","불검출","불검출","적합"
"19","냉장민어(수조기)","야마구치현","2014-08-26","30","불검출","불검출","적합"
"20","냉장홍어","야마구치현","2014-08-26","160","불검출","불검출","적합"
"21","냉동기름치","태평양","2014-08-26","6,907","불검출","불검출","적합"
"22","냉장준치","구마모토현","2014-08-26","1,896","불검출","불검출","적합"
"23","냉동준치","와카야마현","2014-08-26","2,660","불검출","불검출","적합"
"24","활돔(강담돔)","에히메현","2014-08-26","1,041","불검출","불검출","적합"
"25","냉장갈치","후쿠오카현","2014-08-26","740","불검출","불검출","적합"
"26","냉장돔(참돔)","후쿠오카현","2014-08-26","380","불검출","불검출","적합"
"27","냉장갈치","와카야마현","2014-08-26","1,224","불검출","불검출","적합"
"28","활가리비","홋카이도","2014-08-26","6,875","불검출","불검출","적합"
"29","냉장갈치","와카야마현","2014-08-26","1,928","불검출","불검출","적합"
"30","냉장홍어","홋카이도","2014-08-26","241","불검출","불검출","적합"
"31","냉장명태","홋카이도","2014-08-26","2,080","불검출","불검출","적합"
"32","냉장돔(참돔)","후쿠오카현","2014-08-26","1,056","불검출","불검출","적합"
"33","냉장돔(참돔)","야마구치현","2014-08-26","195","불검출","불검출","적합"
"34","냉장준치","와카야마현","2014-08-26","203","불검출","불검출","적합"
"35","활가리비","홋카이도","2014-08-26","6,727","불검출","불검출","적합"
"36","냉장갈치","와카야마현","2014-08-26","528","불검출","불검출","적합"
"37","냉장갈치","와카야마현","2014-08-26","1,360","불검출","불검출","적합"
