"품목","계","","농산물","","가공식품","","건강기능식품","","식품첨가물",""
"접수
일자","건수 중량(㎏) 건수 중량(㎏) 건수 중량(㎏) 건수 중량(㎏) 건수 중량(㎏)","","","","","","","","",""
"합계","77","70,499","1","180","44","49,052","0","0","32","21,267"
"8.25","77","70,499","1","180","44","49,052","0","0","32","21,267"
"8.26","","","","","","","","","",""
"8.27","","","","","","","","","",""
"8.28","","","","","","","","","",""
"8.29","","","","","","","","","",""
