"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","77건","","571,137","","",""
"1","청주","시마네현","2014-07-01","86.4","불검출","불검출","적합"
"2","청주","시마네현","2014-07-01","172.8","불검출","불검출","적합"
"3","혼합제제","미에현","2014-07-19","1,536","불검출","불검출","적합"
"4","청주","교토부","2014-08-01","1,296","불검출","불검출","적합"
"5","소스류","도치기현","2014-06-26","12,000","불검출","불검출","적합"
"6","가공두부","나가노현","2014-07-24","12,712","불검출","불검출","적합"
"7","청주","이바라키현","2014-07-16","86.4","불검출","불검출","적합"
"8","청주","이바라키현","2014-07-24","86.4","불검출","불검출","적합"
"9","혼합제제","효고현","2014-07-29","17","불검출","불검출","적합"
"10","소스류","가나가와현","2014-07-25","266.4","불검출","불검출","적합"
"11","소스류","가나가와현","2014-07-25","261","불검출","불검출","적합"
"12","소스류","가나가와현","2014-07-25","84.6","불검출","불검출","적합"
"13","소스류","가나가와현","2014-07-25","83.25","불검출","불검출","적합"
"14","소스류","가나가와현","2014-07-17","1,161.68","불검출","불검출","적합"
"15","혼합제제","시즈오카현","2014-07-29","50","불검출","불검출","적합"
"16","기타천연착향료","오사카부","2014-08-01","60","불검출","불검출","적합"
"17","스피루리나 제품","도야마현","2014-06-26","1,224","불검출","불검출","적합"
"18","드레싱","사가현","2014-07-04","6,480","불검출","불검출","적합"
"19","카레","나라현","2014-06-24","2,000","불검출","불검출","적합"
