"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","59,304","-","-","-"
"1","활가리비","홋카이도","2016-09-23","7,000","불검출","불검출","적합"
"2","냉동다랑어
(눈다랑어,목살)","대서양","2016-09-23","300","불검출","불검출","적합"
"3","냉동다랑어
(눈다랑어,목살)","태평양","2016-09-23","760","불검출","불검출","적합"
"4","냉장홍어","홋카이도","2016-09-23","11,102","불검출","불검출","적합"
"5","냉장갈치","오이타현","2016-09-23","95","불검출","불검출","적합"
"6","냉장돔(황돔)","나가사키현","2016-09-23","20","불검출","불검출","적합"
"7","냉동상어
(청상아리,F)","태평양","2016-09-23","9,515","불검출","불검출","적합"
"8","활가리비","홋카이도","2016-09-23","6,638","불검출","불검출","적합"
"9","활가리비","홋카이도","2016-09-23","4,552","불검출","불검출","적합"
"10","활가리비","홋카이도","2016-09-23","7,029","불검출","불검출","적합"
"11","활가리비","홋카이도","2016-09-23","7,024","불검출","불검출","적합"
"12","활게(참게)","후쿠오카현","2016-09-23","800","불검출","불검출","적합"
"13","냉동새치
(황새치,F,횟감)","태평양","2016-09-23","3,730","불검출","불검출","적합"
"14","냉동새치
(황새치,F,횟감)","태평양","2016-09-23","235","불검출","불검출","적합"
"15","냉동다랑어
(눈다랑어,F,횟감)","태평양","2016-09-23","504","불검출","불검출","적합"
