"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","","-","-","59,214","-","-","-"
"1","활가리비","홋카이도","2016-03-21","7,000","불검출","불검출","적합"
"2","활돔 벵에돔
(
)","나가사키현","2016-03-21","547","불검출","불검출","적합"
"3","활가리비","홋카이도","2016-03-21","6,985","불검출","불검출","적합"
"4","냉장명태","홋카이도","2016-03-21","10,900","불검출","불검출","적합"
"5","냉장돔 황돔(
)","야마구치현","2016-03-21","413","불검출","불검출","적합"
"6","냉장가오리","야마구치현","2016-03-21","40","불검출","불검출","적합"
"7","냉장갈치","와카야마현","2016-03-21","2,816","불검출","불검출","적합"
"8","냉장갈치","오이타현","2016-03-21","850","불검출","불검출","적합"
"9","냉장갈치","와카야마현","2016-03-21","5,752","불검출","불검출","적합"
"10","냉장갈치","와카야마현","2016-03-21","1,560","불검출","불검출","적합"
"11","냉장갈치","와카야마현","2016-03-21","2,800","불검출","불검출","적합"
"12","냉장갈치","야마구치현","2016-03-21","2,209","불검출","불검출","적합"
"13","냉장병어","야마구치현","2016-03-21","170","불검출","불검출","적합"
"14","냉장갈치","에히메현","2016-03-21","1,168","불검출","불검출","적합"
"15","냉장갈치","와카야마현","2016-03-21","1,576","불검출","불검출","적합"
"16","냉장명태","홋카이도","2016-03-21","1,136","불검출","불검출","적합"
