"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 103건","","","","917,525","","",""
"1","기타과당","미에현","2019-03-20","180","불검출","불검출","적합"
"2","볶은커피","시즈오카현","2019-03-01","300","불검출","불검출","적합"
"3","당류가공품","시가현","2019-04-03","180","불검출","불검출","적합"
"4","청주","아키타현","2019-04-18","372","불검출","불검출","적합"
"5","맥주","후쿠오카현","2019-04-23","81,007","불검출","불검출","적합"
"6","청국장","도쿄도","2019-04-01","2,087","불검출","불검출","적합"
"7","볶은커피","시즈오카현","2019-05-07","18,918","불검출","불검출","적합"
"8","볶은커피","시즈오카현","2019-04-24","2,970","불검출","불검출","적합"
"9","청주","군마현","2019-04-26","86","불검출","불검출","적합"
"10","카레(커리)","니가타현","2019-03-11","360","불검출","불검출","적합"
"11","카레(커리)","니가타현","2019-04-15","720","불검출","불검출","적합"
"12","카레(커리)","니가타현","2019-03-11","360","불검출","불검출","적합"
"13","글리세린지방산
에스테르","효고현","2019-03-06","75","불검출","불검출","적합"
"14","글리세린지방산
에스테르","효고현","2019-03-22","150","불검출","불검출","적합"
