"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","12건","-","-","2,288,456","-","-","-"
"1","냉동틸라피아","필리핀","2014-12-29","3,780","불검출","불검출","적합"
"2","냉동다랑어(눈다랑어,F,횟감)","대만","2014-12-29","21","불검출","불검출","적합"
"3","냉동대구(목살)","러시아","2014-12-29","14,059","불검출","불검출","적합"
"4","냉동꽁치","대만","2014-12-29","43,470","불검출","불검출","적합"
"5","냉동꽁치","대만","2014-12-29","726,351","불검출","불검출","적합"
"6","냉동꽁치","대만","2014-12-29","380,000","불검출","불검출","적합"
"7","냉동꽁치","대만","2014-12-29","91,599","불검출","불검출","적합"
"8","냉동꽁치","대만","2014-12-29","148,751","불검출","불검출","적합"
"9","냉동명태(F)","러시아","2014-12-29","24,000","불검출","불검출","적합"
"10","냉동꽁치","대만","2014-12-29","286,710","불검출","불검출","적합"
"11","냉동꽁치","대만","2014-12-29","281,713","불검출","불검출","적합"
"12","냉동꽁치","대만","2014-12-29","288,002","불검출","불검출","적합"
