"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"156","소스류","히로시마현","2014-11-06","1,320","불검출","불검출","적합"
"157","소스류","히로시마현","2014-11-27","1,436.4","불검출","불검출","적합"
"158","발효식초","히로시마현","2014-11-29","550.8","불검출","불검출","적합"
"159","소스류","히로시마현","2014-11-13","660","불검출","불검출","적합"
"160","소스류","히로시마현","2014-12-01","264","불검출","불검출","적합"
"161","소스류","히로시마현","2014-10-15","246","불검출","불검출","적합"
"162","혼합제제","효고현","2014-12-04","50","불검출","불검출","적합"
"163","혼합제제","효고현","2014-12-05","10","불검출","불검출","적합"
"164","혼합제제","효고현","2014-12-05","17","불검출","불검출","적합"
"165","과자(스낵과자)","사이타마현","2014-07-15","1,256","불검출","불검출","적합"
"166","혼합제제","효고현","2014-12-08","50","불검출","불검출","적합"
"167","기타천연착향료","효고현","2014-12-05","17","불검출","불검출","적합"
"168","혼합제제","효고현","2014-12-05","17","불검출","불검출","적합"
"169","혼합제제","효고현","2014-12-08","34","불검출","불검출","적합"
"170","혼합제제","효고현","2014-12-09","17","불검출","불검출","적합"
"171","캔디류(사탕)","아이치현","2014-12-03","396","불검출","불검출","적합"
"172","혼합제제","사이타마현","2014-12-05","105","불검출","불검출","적합"
"173","혼합제제","사이타마현","2014-12-05","48","불검출","불검출","적합"
"174","혼합제제","사이타마현","2014-12-05","48","불검출","불검출","적합"
"175","혼합제제","사이타마현","2014-11-20","120","불검출","불검출","적합"
"176","혼합제제","사이타마현","2014-12-01","300","불검출","불검출","적합"
"177","혼합제제","사이타마현","2014-08-04","200","불검출","불검출","적합"
