"순 번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"49","캔디류(사탕)","아이치현","2014-12-03","1,536","불검출","불검출","적합"
"50","식초절임(매실절
임)","와카야마현","2014-11-10","144","불검출","불검출","적합"
"51","과자(스낵과자)","니가타현","2014-11-20","408","불검출","불검출","적합"
"52","카레","시즈오카현","2014-08-11","207","불검출","불검출","적합"
"53","소스류","히로시마현","2014-09-18","432","불검출","불검출","적합"
"54","소스류","히로시마현","2014-11-06","1,620","불검출","불검출","적합"
"55","소스류","히로시마현","2014-11-14","216","불검출","불검출","적합"
"56","소스류","히로시마현","2014-09-02","60","불검출","불검출","적합"
"57","액상커피","효고현","2014-10-18","750","불검출","불검출","적합"
"58","볶은커피","효고현","2014-10-02","84","불검출","불검출","적합"
"59","볶은커피","효고현","2014-10-16","84","불검출","불검출","적합"
"60","향신료조제품(고
추냉이가공품)","사이타마현","2014-12-01","150","불검출","불검출","적합"
"61","과자(크래커)","아이치현","2014-11-25","1,485","불검출","불검출","적합"
"62","혼합장","야마나시현","2014-12-08","5,500","불검출","불검출","적합"
"63","청주","아이치현","2014-11-21","720","불검출","불검출","적합"
"64","혼합제제","오사카부","2014-12-09","15","불검출","불검출","적합"
"65","혼합제제","효고현","2014-12-09","15","불검출","불검출","적합"
"66","혼합제제","효고현","2014-12-08","34","불검출","불검출","적합"
"67","혼합제제","이바라키현","2014-11-10","200","불검출","불검출","적합"
"68","갈락토올리고당","훗카이도","2014-02-28","100","불검출","불검출","적합"
"69","볶은커피","시즈오카현","2014-11-14","43","불검출","불검출","적합"
"70","혼합제제","오사카부","2014-12-16","4","불검출","불검출","적합"
"71","맥주","후쿠오카현","2014-11-14","19,500","불검출","불검출","적합"
"72","혼합제제","도쿄도","2014-11-27","25","불검출","불검출","적합"
"73","맥주","후쿠오카현","2014-10-20","32,880","불검출","불검출","적합"
"74","갈락토올리고당","훗카이도","2014-02-28","500","불검출","불검출","적합"
"75","캔디류(사탕)","오사카부","2014-09-09","75","불검출","불검출","적합"
"76","캔디류(사탕)","오사카부","2014-09-08","75","불검출","불검출","적합"
"77","캔디류(사탕)","오사카부","2014-10-14","105","불검출","불검출","적합"
"78","캔디류(사탕)","오사카부","2014-09-16","60","불검출","불검출","적합"
"79","혼합제제","효고현","2014-12-12","34","불검출","불검출","적합"
"80","탄산수소암모늄","도야마현","2014-11-25","36,000","불검출","불검출","적합"
"81","혼합제제","가나가와현","2014-11-20","180","불검출","불검출","적합"
"82","빵류(그외 빵류)","사가현","2014-11-14","9,998.1","불검출","불검출","적합"
"83","장류절임","미야자키현","2014-12-04","80","불검출","불검출","적합"
"84","장류절임","가고시마현","2014-12-04","72","불검출","불검출","적합"
"85","식초절임","가고시마현","2014-12-04","56","불검출","불검출","적합"
"86","식초절임","도치기현","2014-12-05","18","불검출","불검출","적합"
"87","식초절임","도치기현","2014-12-08","57.6","불검출","불검출","적합"
"88","소스류","오이타현","2014-11-21","48.3","불검출","불검출","적합"
"89","양조간장","오이타현","2014-10-27","69.9","불검출","불검출","적합"
"90","드레싱","오이타현","2014-11-20","17.2","불검출","불검출","적합"
"91","위스키","오사카부","2014-11-13","4,399.2","불검출","불검출","적합"
"92","식용유지가공품","도쿄도","2014-10-16","80","불검출","불검출","적합"
