"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"51","맥주","후쿠오카현","2014-10-08","34,920","불검출","불검출","적합"
"52","맥주","후쿠오카현","2014-10-29","174,600","불검출","불검출","적합"
"53","맥주","후쿠오카현","2014-11-13","100,800","불검출","불검출","적합"
"54","향신료조제품(고추
냉이가공품)","아이치현","2014-12-04","550","불검출","불검출","적합"
"55","양조간장","사가현","2014-12-07","230","불검출","불검출","적합"
"56","초콜릿가공품","시즈오카현","2014-11-10","211.2","불검출","불검출","적합"
"57","소주","가고시마현","2014-08-27","720","불검출","불검출","적합"
"58","혼합제제","와카야마현","2014-12-01","60","불검출","불검출","적합"
"59","청주","교토부","2014-09-17","180","불검출","불검출","적합"
"60","청주","교토부","2014-10-01","360","불검출","불검출","적합"
"61","혼합제제","오카야마현","2014-11-26","45","불검출","불검출","적합"
"62","혼합제제","와카야마현","2014-12-01","15","불검출","불검출","적합"
"63","혼합제제","와카야마현","2014-11-28","30","불검출","불검출","적합"
"64","혼합제제","와카야마현","2014-11-27","30","불검출","불검출","적합"
"65","청주","교토부","2014-11-01","1,080","불검출","불검출","적합"
"66","청주","미에현","2014-10-21","3,000","불검출","불검출","적합"
"67","혼합장","훗카이도","2014-12-03","2,541","불검출","불검출","적합"
"68","캔디류(사탕)","아이치현","2014-11-18","540","불검출","불검출","적합"
"69","혼합제제","와카야마현","2014-11-26","60","불검출","불검출","적합"
"70","소스류","훗카이도","2014-12-03","3,886.8","불검출","불검출","적합"
"71","소스류","훗카이도","2014-12-04","1,380","불검출","불검출","적합"
"72","혼합장","훗카이도","2014-12-05","1,596","불검출","불검출","적합"
"73","캔디류(사탕)","아이치현","2014-11-18","384","불검출","불검출","적합"
"74","소스류","훗카이도","2014-12-03","214.2","불검출","불검출","적합"
"75","혼합제제","와카야마현","2014-11-21","30","불검출","불검출","적합"
"76","과자(비스킷)","아이치현","2014-11-20","50.4","불검출","불검출","적합"
"77","혼합제제","효고현","2014-12-10","51","불검출","불검출","적합"
"78","혼합제제","효고현","2014-12-08","34","불검출","불검출","적합"
"79","빵류(그외 빵류)","나가노현","2014-11-14","180.6","불검출","불검출","적합"
"80","혼합제제","이바라키현","2014-12-09","100","불검출","불검출","적합"
"81","혼합제제","효고현","2014-12-10","34","불검출","불검출","적합"
"82","혼합제제","효고현","2014-12-10","34","불검출","불검출","적합"
"83","청주","이와테현","2014-11-12","178.8","불검출","불검출","적합"
"84","청주","이와테현","2014-08-09","59.2","불검출","불검출","적합"
"85","청주","이와테현","2014-11-26","21.6","불검출","불검출","적합"
"86","청주","이와테현","2014-11-17","86.4","불검출","불검출","적합"
"87","청주","이와테현","2014-11-17","86.4","불검출","불검출","적합"
"88","청주","이와테현","2014-11-26","36","불검출","불검출","적합"
"89","청주","이와테현","2014-11-13","151.2","불검출","불검출","적합"
