"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"14","캔디류(사탕)","도쿄도","2014-11-13","8","불검출","불검출","적합"
"15","초콜릿가공품","도쿄도","2014-11-12","4.4","불검출","불검출","적합"
"16","초콜릿가공품","도쿄도","2014-11-12","54","불검출","불검출","적합"
"17","초콜릿가공품","도쿄도","2014-11-12","11.3","불검출","불검출","적합"
"18","준초콜릿","도쿄도","2014-11-15","5.8","불검출","불검출","적합"
"19","캔디류(젤리)","도쿄도","2014-11-13","6.2","불검출","불검출","적합"
"20","초콜릿가공품","도쿄도","2014-11-12","40.2","불검출","불검출","적합"
"21","초콜릿가공품","도쿄도","2014-11-13","4.1","불검출","불검출","적합"
"22","어묵","효고현","2014-11-18","6,154","불검출","불검출","적합"
"23","국수","가가와현","2014-11-18","400","불검출","불검출","적합"
"24","건어포류","에히메현","2014-11-14","540","불검출","불검출","적합"
"25","청주","니가타현","2014-11-21","1,080","불검출","불검출","적합"
"26","양조간장","지바현","2014-10-30","114","불검출","불검출","적합"
"27","양조간장","지바현","2014-09-25","8,002.8","불검출","불검출","적합"
"28","양조간장","지바현","2014-11-12","318.6","불검출","불검출","적합"
"29","카레","도치기현","2014-10-29","5,658","불검출","불검출","적합"
"30","카레","나라현","2014-10-22","600","불검출","불검출","적합"
"31","카레","나라현","2014-10-07","600","불검출","불검출","적합"
"32","카레","나라현","2014-10-27","6,000","불검출","불검출","적합"
"33","소스류","미에현","2014-11-14","420","불검출","불검출","적합"
"34","소스류","미에현","2014-10-30","380","불검출","불검출","적합"
"35","혼합제제","효고현","2014-12-09","153","불검출","불검출","적합"
"36","기타가공품","와카야마현","2014-12-10","200","불검출","불검출","적합"
"37","혼합제제","미에현","2014-11-11","2,520","불검출","불검출","적합"
"38","맥주","후쿠오카현","2014-10-01","48,500","불검출","불검출","적합"
"39","폴리글리세린지방
산에스테르","미에현","2014-07-08","90","불검출","불검출","적합"
"40","맥주","후쿠오카현","2014-10-01","48,500","불검출","불검출","적합"
"41","맥주","후쿠오카현","2014-10-27","5,605.5","불검출","불검출","적합"
"42","혼합제제","이바라키현","2014-11-19","5","불검출","불검출","적합"
"43","맥주","후쿠오카현","2014-10-08","4,494.5","불검출","불검출","적합"
"44","소스류","후쿠오카현","2014-12-03","2,500","불검출","불검출","적합"
"45","수산물가공품","훗카이도","2014-11-25","4,920","불검출","불검출","적합"
"46","맥주","후쿠오카현","2014-11-12","113,150","불검출","불검출","적합"
"47","소스류","후쿠오카현","2014-12-04","500","불검출","불검출","적합"
"48","맥주","후쿠오카현","2014-11-21","48,500","불검출","불검출","적합"
"49","복합조미식품","후쿠오카현","2014-12-04","300","불검출","불검출","적합"
"50","맥주","후쿠오카현","2014-11-15","192,060","불검출","불검출","적합"
