"순 번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"14","발효식초","오사카부","2014-10-15","248.4","불검출","불검출","적합"
"15","준초콜릿","에히메현","2014-09-29","240","불검출","불검출","적합"
"16","준초콜릿","에히메현","2014-10-28","364.8","불검출","불검출","적합"
"17","액상커피","효고현","2014-11-21","2,775","불검출","불검출","적합"
"18","침출차","시즈오카현","2014-11-13","54","불검출","불검출","적합"
"19","볶은커피","아이치현","2014-12-02","200","불검출","불검출","적합"
"20","볶은커피","효고현","2014-11-07","6,000","불검출","불검출","적합"
"21","소스류","군마현","2014-10-16","1,800","불검출","불검출","적합"
"22","소스류","히로시마현","2014-11-11","360","불검출","불검출","적합"
"23","소스류","히로시마현","2014-07-23","80","불검출","불검출","적합"
"24","땅콩또는견과류가
공품","후쿠오카현","2014-11-18","7.3","불검출","불검출","적합"
"25","과.채가공품","훗카이도","2014-11-12","8.5","불검출","불검출","적합"
"26","국수","구마모토현","2014-11-22","619.2","불검출","불검출","적합"
"27","과.채가공품","훗카이도","2014-11-13","7.1","불검출","불검출","적합"
"28","과자(크래커)","아이치현","2014-10-27","16.2","불검출","불검출","적합"
"29","과자(스낵과자)","아이치현","2014-11-24","52.5","불검출","불검출","적합"
"30","과자(스낵과자)","고치현","2014-11-21","100","불검출","불검출","적합"
"31","과자(크래커)","아이치현","2014-11-17","30.5","불검출","불검출","적합"
"32","과.채가공품","훗카이도","2014-11-19","11.5","불검출","불검출","적합"
"33","과자(크래커)","아이치현","2014-11-17","27.1","불검출","불검출","적합"
"34","혼합제제","가나가와현","2014-11-24","30","불검출","불검출","적합"
"35","침출차","효고현","2014-10-16","16.2","불검출","불검출","적합"
"36","드레싱","지바현","2014-11-21","646.8","불검출","불검출","적합"
"37","소스류","에히메현","2014-12-01","840","불검출","불검출","적합"
"38","소스류","에히메현","2014-12-01","1,440","불검출","불검출","적합"
"39","전분가공품","에히메현","2014-12-01","2,000","불검출","불검출","적합"
"40","소스류","에히메현","2014-11-26","1,638","불검출","불검출","적합"
"41","소스류","에히메현","2014-11-28","504","불검출","불검출","적합"
"42","곡류가공품","에히메현","2014-11-27","1,400","불검출","불검출","적합"
"43","곡류가공품","에히메현","2014-11-28","1,400","불검출","불검출","적합"
"44","캔디류(사탕)","미에현","2014-10-03","506.88","불검출","불검출","적합"
"45","혼합제제","가나가와현","2014-11-18","30","불검출","불검출","적합"
"46","소스류","군마현","2014-10-14","360","불검출","불검출","적합"
"47","혼합제제","가나가와현","2014-11-18","30","불검출","불검출","적합"
"48","캔디류(사탕)","아이치현","2014-12-03","3,708","불검출","불검출","적합"
