"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"130","청주","와카야마현","2014-12-09","129.6","불검출","불검출","적합"
"131","청주","교토부","2014-12-01","86.4","불검출","불검출","적합"
"132","과자(웨이퍼)","오사카부","2014-11-26","620","불검출","불검출","적합"
"133","과자(스낵과자)","군마현","2014-12-02","248.43","불검출","불검출","적합"
"134","당류가공품","교토부","2014-04-01","27","불검출","불검출","적합"
"135","당류가공품","교토부","2014-04-01","19.8","불검출","불검출","적합"
"136","당류가공품","교토부","2014-04-01","26.1","불검출","불검출","적합"
"137","인스턴트커피","미에현","2014-11-23","480","불검출","불검출","적합"
"138","혼합제제","시가현","2014-12-08","40","불검출","불검출","적합"
"139","혼합제제","시가현","2014-12-08","50","불검출","불검출","적합"
"140","기타천연착향료","시가현","2014-12-08","100","불검출","불검출","적합"
"141","기타천연착향료","시가현","2014-12-10","200","불검출","불검출","적합"
"142","당류가공품","교토부","2014-04-01","36","불검출","불검출","적합"
"143","로커스트콩검","도야마현","2014-08-29","1,000","불검출","불검출","적합"
"144","자당지방산에스테
르","나가노현","2014-10-11","100","불검출","불검출","적합"
"145","자당지방산에스테
르","미에현","2014-10-28","2,880","불검출","불검출","적합"
"146","양조간장","지바현","2014-11-13","330","불검출","불검출","적합"
"147","폴리글리세린지방
산에스테르","미에현","2014-07-14","200","불검출","불검출","적합"
"148","헤미셀룰라아제","효고현","2014-11-11","20","불검출","불검출","적합"
"149
150","혼합제제","효고현","2014-12-09","85","불검출","불검출","적합"
"","","","","","","","적합"
"","","","","","","불검출",""
"","","","","","불검출","",""
"","","","","15","","",""
"","","","2014-12-09","","","",""
"","","효고현","","","","",""
"","혼합제제","","","","","",""
"151","기타천연착향료","이바라키현","2014-11-20","5","불검출","불검출","적합"
"152","글리세린지방산에
스테르","미에현","2014-11-13","128","불검출","불검출","적합"
"153","혼합간장","후쿠오카현","2014-12-06","1,050","불검출","불검출","적합"
"154","소스류","히로시마현","2014-11-14","3,893.4","불검출","불검출","적합"
"155","소스류","히로시마현","2014-12-08","3,150","불검출","불검출","적합"
