"순 번","품목명","제조·생산지","제조일자","중량(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"19","카레","나가노현","2014-04-08","400","불검출","불검출","적합"
"20","기타가공품","와카야마현","2014-05-19","3,000","불검출","불검출","적합"
"21","조미건어포류","에히메현","2014-05-22","1,500","불검출","불검출","적합"
"22","과자(한과류)","나가노현","2014-04-26","230","불검출","불검출","적합"
"23","L-아르기닌","사가현","2013-11-29","1,500","불검출","불검출","적합"
"24","이노시톨","와카야마현","2014-05-06","300","불검출","불검출","적합"
"25","혼합제제","효고현","2014-05-22","17","불검출","불검출","적합"
"26","혼합제제","효고현","2014-05-21","102","불검출","불검출","적합"
"27","혼합제제","효고현","2014-05-21","17","불검출","불검출","적합"
"28","혼합제제","효고현","2014-05-09","17","불검출","불검출","적합"
"29","혼합제제","지바현","2014-05-15","180","불검출","불검출","적합"
"30","혼합제제","지바현","2014-05-02","180","불검출","불검출","적합"
"31","혼합제제","오카야마현","2014-05-20","90","불검출","불검출","적합"
"32","혼합제제","오카야마현","2014-05-20","30","불검출","불검출","적합"
"33","혼합제제","시즈오카현","2014-05-13","100","불검출","불검출","적합"
"34","맥주","후쿠오카현","2014-04-11","31,987.2","불검출","불검출","적합"
"35","혼합제제","사이타마현","2014-04-29","300","불검출","불검출","적합"
"36","기타천연착향료","오카야마현","2014-05-16","1,110","불검출","불검출","적합"
"37","양조간장","지바현","2014-03-03","16,426.8","불검출","불검출","적합"
"38","혼합제제","사이타마현","2014-04-17","105","불검출","불검출","적합"
"39","혼합제제","사이타마현","2014-03-03","120","불검출","불검출","적합"
"40","혼합제제","사이타마현","2014-03-03","48","불검출","불검출","적합"
"41","혼합제제","사이타마현","2014-03-03","42","불검출","불검출","적합"
"42","혼합제제","사이타마현","2013-10-11","35","불검출","불검출","적합"
"43","혼합제제","사이타마현","2013-10-11","35","불검출","불검출","적합"
"44","혼합제제","사이타마현","2014-01-14","300","불검출","불검출","적합"
"45","혼합제제","사이타마현","2014-05-16","32","불검출","불검출","적합"
"46","혼합제제","사이타마현","2014-05-15","50","불검출","불검출","적합"
"47","기타천연착향료","사이타마현","2014-04-09","40","불검출","불검출","적합"
"48","혼합제제","사이타마현","2014-04-09","150","불검출","불검출","적합"
"49","혼합제제","사이타마현","2014-05-15","50","불검출","불검출","적합"
"50","혼합제제","사이타마현","2014-04-25","270","불검출","불검출","적합"
"51","혼합제제","사이타마현","2014-05-16","100","불검출","불검출","적합"
"52","혼합제제","사이타마현","2014-04-25","60","불검출","불검출","적합"
"53","혼합제제","사이타마현","2014-04-30","28","불검출","불검출","적합"
"54","혼합제제","사이타마현","2014-03-17","16","불검출","불검출","적합"
"55","혼합제제","사이타마현","2014-04-29","50","불검출","불검출","적합"
"56","혼합제제","사이타마현","2014-05-16","30","불검출","불검출","적합"
"57","혼합제제","사이타마현","2014-01-28","90","불검출","불검출","적합"
"58","캔디류(사탕)","나라현","2014-05-23","126","불검출","불검출","적합"
"59","기타가공품","이바라키현","2014-04-29","27,000","불검출","불검출","적합"
"60","수산물가공품","후쿠시마현","2014-05-12","240","불검출","불검출","적합"
"61","혼합제제","오카야마현","2014-05-15","60","불검출","불검출","적합"
"62","당류가공품","오카야마현","2014-03-05","40,000","불검출","불검출","적합"
"63","L-트립토판","야마구치현","2014-01-22","50","불검출","불검출","적합"
"64","L-트립토판","야마구치현","2014-02-18","50","불검출","불검출","적합"
"65","혼합제제","시즈오카현","2014-04-17","25","불검출","불검출","적합"
"66","위스키","오사카부","2014-05-13","1,512","불검출","불검출","적합"
"67","위스키","오사카부","2014-03-13","840","불검출","불검출","적합"
"68","소스류","히로시마현","2014-04-17","2,343.6","불검출","불검출","적합"
