"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","86,498","-","-","-"
"1","활돔(참돔)","에히메현","2016-11-10","4,925","불검출","불검출","적합"
"2","활돔(쥐돔)","미야자키현","2016-11-10","402","불검출","불검출","적합"
"3","활돔(참돔)","에히메현","2016-11-10","14,995","불검출","불검출","적합"
"4","활우렁쉥이","홋카이도","2016-11-10","7,000","불검출","불검출","적합"
"5","냉동새치
(돛새치)","대서양","2016-11-10","8,010","불검출","불검출","적합"
"6","냉동상어
(청상아리,F)","대서양","2016-11-10","940","불검출","불검출","적합"
"7","냉동다랑어
(남방참다랑어)","대서양","2016-11-10","2,337.4","불검출","불검출","적합"
"8","냉장명태","홋카이도","2016-11-10","2,000","불검출","불검출","적합"
"9","냉장홍어","홋카이도","2016-11-10","1,517","불검출","불검출","적합"
"10","냉장홍어","홋카이도","2016-11-10","2,817","불검출","불검출","적합"
"11","냉장홍어","홋카이도","2016-11-10","455","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-11-10","6,650","불검출","불검출","적합"
"13","냉장명태","홋카이도","2016-11-10","3,600","불검출","불검출","적합"
"14","냉장명태","홋카이도","2016-11-10","6,650","불검출","불검출","적합"
"15","냉장홍어","홋카이도","2016-11-10","468","불검출","불검출","적합"
"16","냉장명태","홋카이도","2016-11-10","3,000","불검출","불검출","적합"
