"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","828,280","-","-","-"
"1","냉동다랑어
(눈다랑어,F,횟감)","대만","2016-11-10","3,000","불검출","불검출","적합"
"2","냉동가자미","러시아","2016-11-10","989","불검출","불검출","적합"
"3","냉동꽁치","대만","2016-11-10","45,668","불검출","불검출","적합"
"4","냉동꽁치","대만","2016-11-10","58,226","불검출","불검출","적합"
"5","냉동대구","러시아","2016-11-10","1,591","불검출","불검출","적합"
"6","냉동상어
(청상아리)","대만","2016-11-10","25,000","불검출","불검출","적합"
"7","냉동꽁치","대만","2016-11-10","352,148","불검출","불검출","적합"
"8","냉동명태(F)","러시아","2016-11-10","24,000","불검출","불검출","적합"
"9","냉동꽁치","바누아투","2016-11-10","70,717","불검출","불검출","적합"
"10","냉동꽁치","대만","2016-11-10","162,184","불검출","불검출","적합"
"11","냉동꽁치","대만","2016-11-10","77,757","불검출","불검출","적합"
"12","냉동명태(F)","러시아","2016-11-10","7,000","불검출","불검출","적합"
