"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","2,457,510.6","-","-","-"
"1","냉동명태","러시아","2016-11-11","468,700","불검출","불검출","적합"
"2","냉동가자미
(까지가자미)","러시아","2016-11-11","1,892","불검출","불검출","적합"
"3","냉동상어
(청상아리)","대만","2016-11-11","1,182","불검출","불검출","적합"
"4","냉동명태(F)","러시아","2016-11-11","21,000","불검출","불검출","적합"
"5","냉동상어(귀상어)","베트남","2016-11-11","8,597.1","불검출","불검출","적합"
"6","마른새우","중국","2016-11-11","10,000","불검출","불검출","적합"
"7","냉동꽁치","대만","2016-11-11","128,690","불검출","불검출","적합"
"8","냉동가자미
(각시가자미)","러시아","2016-11-11","21,560","불검출","불검출","적합"
"9","냉동꽁치","대만","2016-11-11","233,772","불검출","불검출","적합"
"10","냉동꽁치","대만","2016-11-11","294,680","불검출","불검출","적합"
"11","냉동꽁치","대만","2016-11-11","229,419","불검출","불검출","적합"
"12","냉동꽁치","대만","2016-11-11","286,603","불검출","불검출","적합"
"13","냉동꽁치","대만","2016-11-11","138,845","불검출","불검출","적합"
"14","냉동가자미
(각시가자미)","러시아","2016-11-11","22,500","불검출","불검출","적합"
"15","냉동꽁치","대만","2016-11-11","283,204","불검출","불검출","적합"
"16","냉동꽁치","대만","2016-11-11","251,844","불검출","불검출","적합"
"17","냉동꽁치","대만","2016-11-11","30,367","불검출","불검출","적합"
"18","냉동대구","러시아","2016-11-11","1,655.5","불검출","불검출","적합"
"19","냉동명태(F)","러시아","2016-11-11","23,000","불검출","불검출","적합"
