"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"6","냉동꽁치","대만","2018-12-07","114,855","적합","적합","적합"
"7","냉동연어(대서양연어)","칠레","2018-12-07","21,000","적합","적합","적합"
"8","냉동꽁치","대만","2018-12-07","44,840","적합","적합","적합"
"9","냉동꽁치","대만","2018-12-07","49,660","적합","적합","적합"
"10","냉동꽁치","대만","2018-12-07","123,920","적합","적합","적합"
"11","냉동명태","러시아","2018-12-07","967,500","적합","적합","적합"
"12","냉동꽁치","대만","2018-12-07","44,746","적합","적합","적합"
"13","마른명태","러시아","2018-12-07","9,900","적합","적합","적합"
"14","냉동명태(F)","러시아","2018-12-07","23,500","적합","적합","적합"
"15","냉동대구","러시아","2018-12-07","46,225","적합","적합","적합"
"16","냉동꽁치","대만","2018-12-07","114,650","적합","적합","적합"
"합계","","-","-","1,887,336","-","-","-"
