"순 번","품목명","제조·생산지","제조일자","중량(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"17","드레싱","사가현","2014-03-28","630","불검출","불검출","적합"
"18","기타가공품","오사카부","2014-04-02","100","불검출","불검출","적합"
"19","양조간장","효고현","2014-03-27","324","불검출","불검출","적합"
"20","전분가공품","효고현","2014-03-21","200","불검출","불검출","적합"
"21","된장","교토부","2014-03-28","180","불검출","불검출","적합"
"22","마요네즈","사가현","2014-03-19","200","불검출","불검출","적합"
"23","기타가공품","미에현","2014-03-25","36","불검출","불검출","적합"
"24","자몽종자추출물","지바현","2014-03-25","2,000","불검출","불검출","적합"
"25","캔디류(사탕)","도쿄도","2014-03-12","16","불검출","불검출","적합"
"26","캔디류(사탕)","도쿄도","2014-03-12","16","불검출","불검출","적합"
"27","캔디류(사탕)","도쿄도","2014-03-12","16","불검출","불검출","적합"
"28","캔디류(젤리)","도쿄도","2014-03-12","16","불검출","불검출","적합"
"29","캔디류(젤리)","도쿄도","2014-03-12","16","불검출","불검출","적합"
"30","기타가공품","효고현","2014-03-26","3,132","불검출","불검출","적합"
"31","기타가공품","효고현","2014-03-20","3,880","불검출","불검출","적합"
"32","비타민","기후현","2014-02-05","98.17","불검출","불검출","적합"
"33","소스류","군마현","2014-03-14","66","불검출","불검출","적합"
"34","혼합제제","오사카부","2014-04-11","40","불검출","불검출","적합"
"35","기타가공품","훗카이도","2014-03-26","6,016","불검출","불검출","적합"
"36","맥주","나가노현","2014-03-11","269","불검출","불검출","적합"
"37","맥주","나가노현","2014-03-05","151","불검출","불검출","적합"
"38","과자(스낵과자)","아이치현","2014-04-08","240","불검출","불검출","적합"
"39","캔디류(젤리)","나가노현","2014-04-02","360","불검출","불검출","적합"
"40","캔디류(젤리)","나가노현","2014-03-29","2,016","불검출","불검출","적합"
"41","풀루란","오카야마현","2014-03-06","100","불검출","불검출","적합"
"42","탄산음료","아이치현","2014-03-14","1,500","불검출","불검출","적합"
"43","수산물가공품","후쿠시마현","2014-03-31","720","불검출","불검출","적합"
"44","수산물가공품","후쿠시마현","2014-04-01","180","불검출","불검출","적합"
"45","소스류","가가와현","2014-04-14","2,100","불검출","불검출","적합"
"46","수산물가공품","후쿠시마현","2014-04-04","840","불검출","불검출","적합"
"47","수산물가공품","미에현","2014-04-07","600","불검출","불검출","적합"
"48","금박","교토부","2014-04-10","0.12","불검출","불검출","적합"
"49","양념젓갈","가나가와현","2014-03-28","240","불검출","불검출","적합"
"50","식초절임(매실절임)","와카야마현","2014-04-07","160","불검출","불검출","적합"
"51","어묵","이시카와현","2014-02-14","270","불검출","불검출","적합"
"52","소스류","후쿠오카현","2014-04-07","252","불검출","불검출","적합"
"53","소스류","후쿠오카현","2014-04-16","2,250","불검출","불검출","적합"
"54","양조간장","후쿠오카현","2014-04-06","6,336","불검출","불검출","적합"
