"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동다랑어(눈다랑어,목살,횟감)","중국","2018-05-01","1,335","불검출","불검출","적합"
"2","냉동다랑어(눈다랑어,목살)","대만","2018-05-01","803","불검출","불검출","적합"
"3","냉동다랑어(참다랑어,목살)","튀니지","2018-05-01","2,475","불검출","불검출","적합"
"4","냉동다랑어(눈다랑어,F,횟감)","대만","2018-05-01","1,996","불검출","불검출","적합"
"5","냉동가재(바다가재)","쿠바","2018-05-01","13,558","불검출","불검출","적합"
"6","냉동명태(F)","러시아","2018-05-01","21,750","불검출","불검출","적합"
"7","냉동명태(F)","러시아","2018-05-01","21,500","불검출","불검출","적합"
"8","냉동대구(목살)","러시아","2018-05-01","2,873","불검출","불검출","적합"
"9","냉동다랑어(눈다랑어,목살,횟감)","대만","2018-05-01","150","불검출","불검출","적합"
"10","냉동어란(명란)","러시아","2018-05-01","29,959","불검출","불검출","적합"
"합계","","-","-","96,399","-","-","-"
