"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 111건","","","","840,144","","",""
"1","캔디류","군마현","2018-02-14","7,488","불검출","불검출","적합"
"2","소스","지바현","2018-02-26","7,108","불검출","불검출","적합"
"3","캔디류","오카야마현","2018-03-24","592","불검출","불검출","적합"
"4","소스","교토부","2018-03-06","33","불검출","불검출","적합"
"5","볶은커피","오사카부","","189","불검출","불검출","적합"
"6","볶은커피","오사카부","","197","불검출","불검출","적합"
"7","캔디류","후쿠오카현","2018-04-12","575","불검출","불검출","적합"
"8","맥주","교토부","2018-03-05","65,290","불검출","불검출","적합"
"9","맥주","교토부","2018-03-21","4,810","불검출","불검출","적합"
"10","빵류","아이치현","2018-04-09","5,282","불검출","불검출","적합"
"11","가공두부","후쿠오카현","2018-03-08","2,990","불검출","불검출","적합"
"12","가공두부","후쿠오카현","2018-04-06","4,500","불검출","불검출","적합"
"13","가공두부","후쿠오카현","2018-04-05","4,464","불검출","불검출","적합"
