"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 82건","","","","497,548","","",""
"1","소스","에히메현","2018-07-17","7,155","불검출","불검출","적합"
"2","과자","야마가타현","2018-06-29","91","불검출","불검출","적합"
"3","소스","에히메현","2018-07-16","2,668","불검출","불검출","적합"
"4","혼합제제","오사카부","2018-06-27","200","불검출","불검출","적합"
"5","기타 수산물가공품","후쿠시마현","2018-06-28","600","불검출","불검출","적합"
"6","합성향료","효고현","2018-07-17","17","불검출","불검출","적합"
"7","혼합제제","효고현","2018-07-17","17","불검출","불검출","적합"
"8","합성향료","효고현","2018-07-13","17","불검출","불검출","적합"
"9","혼합제제","사이타마현","2018-05-08","1,000","불검출","불검출","적합"
"10","혼합제제","효고현","2018-07-13","85","불검출","불검출","적합"
"11","합성향료","효고현","2018-07-12","68","불검출","불검출","적합"
"12","혼합제제","사이타마현","2018-07-18","36","불검출","불검출","적합"
"13","혼합제제","사이타마현","2018-07-17","126","불검출","불검출","적합"
"14","혼합제제","사이타마현","2018-07-18","108","불검출","불검출","적합"
"15","혼합제제","사이타마현","2018-07-13","612","불검출","불검출","적합"
