"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","149","","309,964","","",""
"1","과자(쿠키)","이바라키현","2016-01-22","382","불검출","불검출","적합"
"2","청국장","와카야마현","2016-04-13","1,696","불검출","불검출","적합"
"3","어묵","사가현","2016-03-01","700","불검출","불검출","적합"
"4","혼합제제","효고현","2016-04-08","10","불검출","불검출","적합"
"5","카레","니가타현","2016-02-19","432","불검출","불검출","적합"
"6","무기질","기후현","2016-04-13","57","불검출","불검출","적합"
"7","카레","나가노현","2016-03-11","600","불검출","불검출","적합"
"8","카레","나가노현","2016-03-12","2,400","불검출","불검출","적합"
"9","카레","나가노현","2016-03-07","500","불검출","불검출","적합"
"10","양조간장","아이치현","2016-03-25","540","불검출","불검출","적합"
"11","카레","나가노현","2016-03-29","2,200","불검출","불검출","적합"
"12","혼합제제","오카야마현","2016-04-11","30","불검출","불검출","적합"
"13","냉면","효고현","2016-03-30","1,632","불검출","불검출","적합"
