"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","316,635.8","-","-","-"
"1","냉동고등어(F)","중국","2016-12-16","2,000","불검출","불검출","적합"
"2","냉동가자미
(검정가자미)","러시아","2016-12-16","1,613","불검출","불검출","적합"
"3","냉동꽁치","대만","2016-12-16","50,038.8","불검출","불검출","적합"
"4","냉동다랑어
(눈다랑어)","대만","2016-12-16","17,168","불검출","불검출","적합"
"5","냉동꽁치","대만","2016-12-16","45,454","불검출","불검출","적합"
"6","냉동명태(F)","러시아","2016-12-16","14,400","불검출","불검출","적합"
"7","냉동꽁치","대만","2016-12-16","22,575","불검출","불검출","적합"
"8","냉동명태(F)","러시아","2016-12-16","32,910","불검출","불검출","적합"
"9","냉동대구","러시아","2016-12-16","2,860","불검출","불검출","적합"
"10","냉동명태(F)","러시아","2016-12-16","14,352","불검출","불검출","적합"
"11","냉동꽁치","대만","2016-12-16","22,130","불검출","불검출","적합"
"12","냉동명태(F)","러시아","2016-12-16","24,000","불검출","불검출","적합"
"13","냉동꽁치","대만","2016-12-16","67,135","불검출","불검출","적합"
