"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"19","활가리비","홋카이도","2016-12-20","6,924","불검출","불검출","적합"
"20","냉동가리비
(외투막)","홋카이도","2016-12-20","23,050","불검출","불검출","적합"
"21","냉장명태","홋카이도","2016-12-20","1,300","불검출","불검출","적합"
"22","냉장돔(참돔)","야마구치현","2016-12-20","105","불검출","불검출","적합"
"23","냉장돔(황돔)","야마구치현","2016-12-20","70","불검출","불검출","적합"
"24","냉장홍어","홋카이도","2016-12-20","1,796","불검출","불검출","적합"
"25","냉장명태","홋카이도","2016-12-20","6,630","불검출","불검출","적합"
"26","활우렁쉥이","홋카이도","2016-12-20","8,785","불검출","불검출","적합"
"27","냉장홍어","홋카이도","2016-12-20","4,287","불검출","불검출","적합"
"28","냉장명태","홋카이도","2016-12-20","5,500","불검출","불검출","적합"
"29","냉장명태","홋카이도","2016-12-20","1,200","불검출","불검출","적합"
"30","활우렁쉥이","홋카이도","2016-12-20","7,477","불검출","불검출","적합"
"31","냉장갈치","야마구치현","2016-12-20","1,130","불검출","불검출","적합"
"32","냉장명태","홋카이도","2016-12-20","3,913","불검출","불검출","적합"
"33","냉장홍어","홋카이도","2016-12-20","4,855","불검출","불검출","적합"
"34","냉장명태","홋카이도","2016-12-20","3,494","불검출","불검출","적합"
"35","냉장명태","홋카이도","2016-12-20","2,812","불검출","불검출","적합"
"36","냉장갈치","야마구치현","2016-12-20","5,752","불검출","불검출","적합"
"37","냉장홍어","홋카이도","2016-12-20","2,130","불검출","불검출","적합"
"38","냉장명태","홋카이도","2016-12-20","5,000","불검출","불검출","적합"
