"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 50건","","","","177,465","","",""
"1","액상커피","시가현","2019-03-08","10,800","불검출","불검출","적합"
"2","액상커피","시가현","2019-02-16","1,674","불검출","불검출","적합"
"3","침출차","시즈오카현","2019-04-20","54","불검출","불검출","적합"
"4","과자","사이타마현","2018-11-22","2,112","불검출","불검출","적합"
"5","소스","군마현","2019-04-05","5,850","불검출","불검출","적합"
"6","고추냉이/신선,냉장","시즈오카현","2019-05-10","15","불검출","불검출","적합"
"7","청주","군마현","2019-04-26","104","불검출","불검출","적합"
"8","청주","도야마현","2019-03-20","104","불검출","불검출","적합"
"9","청주","이와테현","2019-04-15","104","불검출","불검출","적합"
"10","소주","오키나와현","2019-03-11","72","불검출","불검출","적합"
"11","청주","기후현","2019-04-23","302","불검출","불검출","적합"
"12","기타천연착향료","오사카부","2019-05-17","90","불검출","불검출","적합"
"13","혼합제제","오사카부","2019-05-17","180","불검출","불검출","적합"
"14","소스","후쿠오카현","2019-05-16","6,300","불검출","불검출","적합"
"15","복합조미식품","효고현","2019-04-16","400","불검출","불검출","적합"
