"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 120건","","","","1,290,707","","",""
"1","볶은커피","사이타마현","2019-03-14","300","불검출","불검출","적합"
"2","볶은커피","시즈오카현","2019-04-03","300","불검출","불검출","적합"
"3","과자","아이치현","2019-04-22","180","불검출","불검출","적합"
"4","건어포","시즈오카현","2019-04-06","1,000","불검출","불검출","적합"
"5","과자","도쿄도","2019-05-14","3,816","불검출","불검출","적합"
"6","청주","미야기현","2019-05-08","75","불검출","불검출","적합"
"7","청주","미야기현","2019-05-08","150","불검출","불검출","적합"
"8","청주","미야기현","2019-05-08","38","불검출","불검출","적합"
"9","혼합제제","미에현","2019-03-26","100","불검출","불검출","적합"
"10","혼합제제","미에현","2019-05-14","1,550","불검출","불검출","적합"
"11","볶은커피","오사카부","","378","불검출","불검출","적합"
"12","볶은커피","오사카부","","594","불검출","불검출","적합"
"13","볶은커피","오사카부","","864","불검출","불검출","적합"
"14","볶은커피","오사카부","","702","불검출","불검출","적합"
"15","소스","아이치현","2019-05-13","2,304","불검출","불검출","적합"
