"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건27","-","-","4,382,148","-","-","-"
"1","냉동다랑어
(
눈다랑어
)","마이크로네
시아","2015-11-05","39,487","불검출","불검출","적합"
"2","냉동꽁치","대만","2015-11-05","133,109","불검출","불검출","적합"
"3","냉동다랑어
(
눈다랑어 횟감
,F,
)","대만","2015-11-05","540","불검출","불검출","적합"
"4","냉동상어
(
청상아리
)","대만","2015-11-05","24,890","불검출","불검출","적합"
"5","냉동명태","러시아","2015-11-05","400,072","불검출","불검출","적합"
"6","냉동꽁치","대만","2015-11-05","568,683","불검출","불검출","적합"
"7","냉동대구 목살(
)","러시아","2015-11-05","9,503","불검출","불검출","적합"
"8","냉동가자미","러시아","2015-11-05","6,020","불검출","불검출","적합"
"9","냉동대구 목살(
)","러시아","2015-11-05","8,092","불검출","불검출","적합"
"10","냉동대구","러시아","2015-11-05","1,054","불검출","불검출","적합"
"11","냉동꽁치","대만","2015-11-05","308,525","불검출","불검출","적합"
"12","냉동명태(F)","러시아","2015-11-05","21,750","불검출","불검출","적합"
"13","냉동명태","러시아","2015-11-05","686,019","불검출","불검출","적합"
"14","냉동가자미
(
까지가자미
)","러시아","2015-11-05","4,730","불검출","불검출","적합"
