"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"16","냉장홍어","야마구치현","2015-11-09","140","불검출","불검출","적합"
"17","냉장홍어","홋카이도","2015-11-09","2,929","불검출","불검출","적합"
"18","냉장갈치","오이타현","2015-11-09","785","불검출","불검출","적합"
"19","냉장명태","홋카이도","2015-11-09","4,000","불검출","불검출","적합"
"20","냉장갈치","야마구치현","2015-11-09","765","불검출","불검출","적합"
"21","냉장홍어","홋카이도","2015-11-09","7,229","불검출","불검출","적합"
"22","냉장갈치","에히메현","2015-11-09","230","불검출","불검출","적합"
"23","냉장가오리","에히메현","2015-11-09","540","불검출","불검출","적합"
"24","냉장갈치","오이타현","2015-11-09","1,795","불검출","불검출","적합"
"25","냉장갈치","히로시마현","2015-11-09","625","불검출","불검출","적합"
"26","냉장명태","홋카이도","2015-11-09","1,188","불검출","불검출","적합"
"27","냉장준치","구마모토현","2015-11-09","259","불검출","불검출","적합"
"28","냉장갈치","에히메현","2015-11-09","208","불검출","불검출","적합"
"29","냉장갈치","효고현","2015-11-09","560","불검출","불검출","적합"
"30","냉동다랑어
(
참다랑어 횟감
,F,
)","홋카이도","2015-11-09","37","불검출","불검출","적합"
