"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","51","","95,874","","",""
"1","기타가공품","미야기현","2015-10-13","300","불검출","불검출","적합"
"2","수산화마그네슘","도쿠시마현","2015-10-01","510","불검출","불검출","적합"
"3","청주","후쿠오카현","2015-10-07","710.4","불검출","불검출","적합"
"4","소스류","히로시마현","2015-10-02","3,150","불검출","불검출","적합"
"5","소스류","히로시마현","2015-09-16","1,980","불검출","불검출","적합"
"6","소스류","히로시마현","2015-09-15","108","불검출","불검출","적합"
"7","소스류","히로시마현","2015-09-29","5,328","불검출","불검출","적합"
"8","소스류","히로시마현","2015-10-03","1,223.4","불검출","불검출","적합"
"9","소스류","히로시마현","2015-09-17","3,420","불검출","불검출","적합"
"10","소스류","히로시마현","2015-09-14","283.2","불검출","불검출","적합"
"11","소스류","히로시마현","2015-07-29","264","불검출","불검출","적합"
"12","소스류","히로시마현","2015-08-24","651.9","불검출","불검출","적합"
"13","소스류","히로시마현","2015-09-11","660","불검출","불검출","적합"
