"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","활가리비","홋카이도","2019-07-10","6,436","불검출","불검출","적합"
"2","냉장갈치","와카야마현","2019-07-10","716","불검출","불검출","적합"
"3","활우렁쉥이","홋카이도","2019-07-10","2,980","불검출","불검출","적합"
"4","활가리비","홋카이도","2019-07-10","7,200","불검출","불검출","적합"
"5","활가리비","홋카이도","2019-07-10","7,250","불검출","불검출","적합"
"6","냉동개아지살(가리비,횟감)","홋카이도","2019-07-10","398","불검출","불검출","적합"
"7","활가리비","홋카이도","2019-07-10","3,176","불검출","불검출","적합"
"8","활가리비","홋카이도","2019-07-10","2,600","불검출","불검출","적합"
"9","냉장명태","홋카이도","2019-07-10","1,200","불검출","불검출","적합"
"10","활장어(먹장어)","후쿠오카현","2019-07-10","2,256","불검출","불검출","적합"
"11","냉동개아지살(가리비,횟감)","홋카이도","2019-07-10","598","불검출","불검출","적합"
"12","활가리비","홋카이도","2019-07-10","3,600","불검출","불검출","적합"
"13","냉장홍어","홋카이도","2019-07-10","7,945","불검출","불검출","적합"
"14","냉장명태","홋카이도","2019-07-10","600","불검출","불검출","적합"
"15","활장어(먹장어)","교토부","2019-07-10","699","불검출","불검출","적합"
"16","활가리비","홋카이도","2019-07-10","7,590","불검출","불검출","적합"
"17","활가리비","홋카이도","2019-07-10","7,000","불검출","불검출","적합"
"18","활가리비","홋카이도","2019-07-10","4,508","불검출","불검출","적합"
"19","활가리비","홋카이도","2019-07-10","7,693","불검출","불검출","적합"
"20","냉장명태","홋카이도","2019-07-10","1,200","불검출","불검출","적합"
