"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 106건","","","","695,584","","",""
"1","청주","효고현","2018-02-06","24,300","불검출","불검출","적합"
"2","맥주","오키나와현","2018-03-22","10,090","불검출","불검출","적합"
"3","맥주","후쿠오카현","2018-03-15","100,699","불검출","불검출","적합"
"4","청주","효고현","2018-03-05","2,700","불검출","불검출","적합"
"5","청주","효고현","2018-02-02","648","불검출","불검출","적합"
"6","청주","효고현","2018-03-05","32,400","불검출","불검출","적합"
"7","청주","효고현","2017-09-11","43","불검출","불검출","적합"
"8","맥주","후쿠오카현","2018-03-20","227,568","불검출","불검출","적합"
"9","청주","효고현","2018-03-08","8,100","불검출","불검출","적합"
"10","과자","오사카부","2018-03-31","672","불검출","불검출","적합"
"11","소스","사이타마현","2018-03-06","108","불검출","불검출","적합"
"12","청주","야마구치현","2018-03-03","173","불검출","불검출","적합"
"13","소스","지바현","2018-03-06","87","불검출","불검출","적합"
