"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","11건","-","-","65,512","-","-","-"
"1","활장어(먹장어)","나가사키현","2014-6-13","2,069","불검출","불검출","적합"
"2","활돔(참돔)","나가사키현","2014-6-13","10,838","불검출","불검출","적합"
"3","활가리비","홋카이도","2014-6-13","6,760","불검출","불검출","적합"
"4","활돔(벤자리)","사가현","2014-6-13","100","불검출","불검출","적합"
"5","냉장홍어","홋카이도","2014-6-13","4,924","불검출","불검출","적합"
"6","냉장홍어","홋카이도","2014-6-13","1,722","불검출","불검출","적합"
"7","활가리비","홋카이도","2014-6-13","7,025","불검출","불검출","적합"
"8","활장어(먹장어)","후쿠오카현","2014-6-13","1,768","불검출","불검출","적합"
"9","냉동쥐치","야마구치현","2014-6-13","23,580","불검출","불검출","적합"
"10","냉동새우살","도야마현","2014-6-13","40","불검출","불검출","적합"
"11","활가리비","홋카이도","2014-6-13","6,686","불검출","불검출","적합"
